TableName,ModelOrEntityClass,DAOOrRepositoryClass,ServiceClass,MainServletOrController,MainJspOrFrontend,RelatedMigrationFiles,CurrentUsageStatus,Notes
ChiaHoaDon,src/main/java/org/example/model/ChiaHoaDon.java,,,,,Tài nguyên/QuanLiSport_V4.sql; sql/migration_group_bill_split.sql,Legacy — không còn dùng trong luồng nghiệp vụ chính,
ChiTietGhepKeo,src/main/java/org/example/model/ChiTietGhepKeo.java,,src/main/java/org/example/service/matchmaking/TeamMatchService.java,,,Tài nguyên/QuanLiSport_V4.sql; sql/migration_matchmaking_complete_flow.sql; sql/migration_team_management.sql; sql/rollback_team_management.sql; sql/verify_matchmaking_complete_flow.sql; sql/verify_team_management.sql,Đang dùng,
ChiTietHoaDon,src/main/java/org/example/model/ChiTietHoaDon.java,,src/main/java/org/example/service/invoice/InvoiceViewService.java,src/main/java/org/example/controller/customer/DatSanServlet.java; src/main/java/org/example/controller/manager/HoaDonManagerServlet.java; src/main/java/org/example/controller/staff/CheckInServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/migration_booking_service_preorder.sql,Đang dùng,
CoSo,src/main/java/org/example/model/CoSo.java,src/main/java/org/example/dao/CoSoFaceConfigDAO.java; src/main/java/org/example/dao/CoSoDAO.java; src/main/java/org/example/dao/CoSoNganHangDAO.java; src/main/java/org/example/dao/CoSoCapabilityDAO.java,src/main/java/org/example/service/AuditLogService.java; src/main/java/org/example/service/FacilityAccessService.java; src/main/java/org/example/service/PayOSConfigChallenge.java,src/main/java/org/example/controller/OwnerRegisterServlet.java; src/main/java/org/example/controller/PayOSWebhookServlet.java; src/main/java/org/example/controller/RefundQrServeServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/create_audit_log.sql; sql/fix_view_yeuCauNghi.sql; sql/migration_bank_transfer.sql; sql/migration_facility_capability.sql; sql/migration_facility_geolocation.sql,Đang dùng,
CoSoCapability,src/main/java/org/example/model/CoSoCapability.java,src/main/java/org/example/dao/CoSoCapabilityDAO.java; src/main/java/org/example/dao/impl/CoSoCapabilityDAOImpl.java,src/main/java/org/example/service/AuditLogService.java; src/main/java/org/example/service/admin/CapabilityApprovalService.java; src/main/java/org/example/service/customer/PublicProductSearchService.java,src/main/java/org/example/controller/admin/AdminOwnerServlet.java; src/main/java/org/example/controller/admin/QuanLyChiNhanhServlet.java,,sql/migration_facility_capability.sql; sql/migration_sport_service_module.sql; sql/verify_facility_capability.sql,Đang dùng,
CoSoFaceConfig,src/main/java/org/example/model/CoSoFaceConfig.java,src/main/java/org/example/dao/CoSoFaceConfigDAO.java; src/main/java/org/example/dao/impl/CoSoFaceConfigDAOImpl.java,,src/main/java/org/example/controller/face/FaceChallengeServlet.java; src/main/java/org/example/controller/face/FaceCheckInServlet.java; src/main/java/org/example/controller/guard/GuardDiemDanhServlet.java,,src/main/resources/migration_face_attendance.sql,Đang phát triển / chưa xác minh trên DB thật,
CoSoNganHang,src/main/java/org/example/model/CoSoNganHang.java,src/main/java/org/example/dao/CoSoNganHangDAO.java; src/main/java/org/example/dao/impl/CoSoNganHangDAOImpl.java,,src/main/java/org/example/controller/staff/CheckInServlet.java,,sql/migration_bank_transfer.sql,Đang dùng,
CourtChargeSegment,,,src/main/java/org/example/service/checkout/CheckoutService.java; src/main/java/org/example/service/invoice/InvoiceViewService.java,,,sql/migration_court_checkout.sql; sql/verify_p0_prerequisites.sql,Đang dùng,
CustomerReputationHistory,src/main/java/org/example/model/CustomerReputationHistory.java,src/main/java/org/example/dao/CustomerReputationHistoryDAO.java; src/main/java/org/example/dao/impl/CustomerReputationHistoryDAOImpl.java,src/main/java/org/example/service/reputation/CustomerReputationService.java,src/main/java/org/example/controller/customer/DatSanServlet.java; src/main/java/org/example/controller/customer/GioHangServlet.java; src/main/java/org/example/controller/customer/LichSuDiemUyTinServlet.java,,sql/migration_customer_reputation_cancel_flow.sql; sql/migration_reputation_history_idempotency.sql; sql/verify_accounts_reputation_schema.sql,Đang dùng,
DanhGia,src/main/java/org/example/model/DanhGia.java,src/main/java/org/example/dao/DanhGiaDAO.java; src/main/java/org/example/dao/impl/DanhGiaDAOImpl.java,src/main/java/org/example/service/DanhGiaService.java,src/main/java/org/example/controller/manager/DanhGiaManagerServlet.java; src/main/java/org/example/controller/manager/DashboardServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/migration_notification_marketing_refund_review.sql; sql/verify_notification_marketing_refund_review.sql,Đang dùng,
DanhMucSanPham,src/main/java/org/example/model/DanhMucSanPham.java,src/main/java/org/example/dao/DanhMucSanPhamDAO.java; src/main/java/org/example/dao/impl/DanhMucSanPhamDAOImpl.java,src/main/java/org/example/service/customer/PublicProductSearchService.java,src/main/java/org/example/controller/customer/api/FacilityShopApiServlet.java; src/main/java/org/example/controller/manager/KhoDichVuManagerServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/seed_services_by_facility.sql,Đang dùng,
FaceChallengeToken,src/main/java/org/example/model/FaceChallengeToken.java,src/main/java/org/example/dao/FaceChallengeTokenDAO.java; src/main/java/org/example/dao/impl/FaceChallengeTokenDAOImpl.java,,src/main/java/org/example/controller/face/FaceChallengeServlet.java; src/main/java/org/example/controller/face/FaceCheckInServlet.java,,src/main/resources/migration_face_attendance.sql,Đang phát triển / chưa xác minh trên DB thật,
GhepKeo,src/main/java/org/example/model/GhepKeo.java,src/main/java/org/example/dao/GhepKeoDAO.java; src/main/java/org/example/dao/impl/GhepKeoDAOImpl.java,src/main/java/org/example/service/matchmaking/GhepKeoService.java; src/main/java/org/example/service/matchmaking/TeamMatchService.java,src/main/java/org/example/controller/customer/GhepKeoServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/migration_matchmaking_complete_flow.sql; sql/migration_team_management.sql; sql/rollback_team_management.sql; sql/verify_matchmaking_complete_flow.sql; sql/verify_team_management.sql,Đang dùng,
HoaDon,src/main/java/org/example/model/HoaDon.java,src/main/java/org/example/dao/HoaDonDAO.java; src/main/java/org/example/dao/impl/HoaDonDAOImpl.java,src/main/java/org/example/service/AuditLogService.java; src/main/java/org/example/service/RefundService.java; src/main/java/org/example/service/billing/ServiceBillSeparationService.java,src/main/java/org/example/controller/customer/DatSanServlet.java; src/main/java/org/example/controller/customer/RefundCustomerServlet.java; src/main/java/org/example/controller/manager/DashboardServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/diagnose_and_repair_ghost_booking.sql; sql/migrate_customer_embedded_payos_payment.sql; sql/migration_bank_transfer.sql; sql/migration_booking_service_preorder.sql; sql/migration_court_checkout.sql,Đang dùng,
HoanTien,src/main/java/org/example/model/Hoantien.java,src/main/java/org/example/dao/HoanTienDAO.java; src/main/java/org/example/dao/impl/HoanTienDAOImpl.java,src/main/java/org/example/service/RefundQrService.java; src/main/java/org/example/service/RefundService.java; src/main/java/org/example/service/booking/BookingCancellationService.java,src/main/java/org/example/controller/RefundQrServeServlet.java; src/main/java/org/example/controller/customer/DatSanServlet.java; src/main/java/org/example/controller/customer/GioHangServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/migration_notification_marketing_refund_review.sql; sql/migration_refund_customer_selfservice.sql; sql/migration_refund_workflows.sql; sql/verify_notification_marketing_refund_review.sql; sql/verify_refund_customer_selfservice.sql,Đang dùng,Tên model khác tên bảng: Hoantien
KhuyenMai,src/main/java/org/example/model/KhuyenMai.java,src/main/java/org/example/dao/KhuyenMaiHinhAnhDAO.java; src/main/java/org/example/dao/KhuyenMaiDAO.java; src/main/java/org/example/dao/impl/KhuyenMaiHinhAnhDAOImpl.java; src/main/java/org/example/dao/impl/KhuyenMaiDAOImpl.java,src/main/java/org/example/service/KhuyenMaiService.java; src/main/java/org/example/service/customer/PromotionImagePresenter.java; src/main/java/org/example/service/customer/PromotionService.java,src/main/java/org/example/controller/customer/TimKiemServlet.java; src/main/java/org/example/controller/customer/api/CustomerPromotionApiServlet.java; src/main/java/org/example/controller/customer/api/FacilityDetailApiServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/migration_khuyenmai_hinhanh.sql; sql/migration_promotional_codes.sql; sql/verify_khuyenmai_hinhanh.sql,Đang dùng,
KhuyenMaiHinhAnh,src/main/java/org/example/model/KhuyenMaiHinhAnh.java,src/main/java/org/example/dao/KhuyenMaiHinhAnhDAO.java; src/main/java/org/example/dao/impl/KhuyenMaiHinhAnhDAOImpl.java,src/main/java/org/example/service/customer/PromotionImagePresenter.java; src/main/java/org/example/service/manager/PromotionImageService.java,src/main/java/org/example/controller/customer/ApDungKhuyenMaiServlet.java; src/main/java/org/example/controller/customer/TimKiemServlet.java; src/main/java/org/example/controller/customer/api/CustomerPromotionApiServlet.java,,sql/migration_khuyenmai_hinhanh.sql; sql/verify_khuyenmai_hinhanh.sql,Đang dùng,
KyLuong,src/main/java/org/example/model/KyLuong.java,src/main/java/org/example/dao/KyLuongDAO.java; src/main/java/org/example/dao/impl/KyLuongDAOImpl.java,src/main/java/org/example/service/manager/LuongService.java,src/main/java/org/example/controller/manager/LuongManagerServlet.java,,sql/migration_salary.sql,Đang phát triển / chưa xác minh trên DB thật,
LichDatSan,src/main/java/org/example/model/Lichdatsan.java; src/main/java/org/example/model/DatSan.java,src/main/java/org/example/dao/LichDatSanDichVuDAO.java; src/main/java/org/example/dao/DatSanDAO.java; src/main/java/org/example/dao/LichDatSanDAO.java; src/main/java/org/example/dao/impl/DatSanDAOImpl.java,src/main/java/org/example/service/AuditLogService.java; src/main/java/org/example/service/BookingLifecycleService.java; src/main/java/org/example/service/DanhGiaService.java,src/main/java/org/example/controller/PayOSWebhookServlet.java; src/main/java/org/example/controller/QuanLyDatSanServlet.java; src/main/java/org/example/controller/admin/QuanLyChiNhanhServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/diagnose_and_repair_ghost_booking.sql; sql/migrate_customer_embedded_payos_payment.sql; sql/migration_booking_extension.sql; sql/migration_booking_service_preorder.sql; sql/migration_court_checkout.sql,Đang dùng,"Tên model khác tên bảng: Lichdatsan, DatSan"
LichDatSan_DichVu,src/main/java/org/example/model/LichDatSanDichVu.java,src/main/java/org/example/dao/LichDatSanDichVuDAO.java; src/main/java/org/example/dao/impl/LichDatSanDichVuDAOImpl.java,,src/main/java/org/example/controller/staff/BookingServiceStaffServlet.java; src/main/java/org/example/controller/staff/CheckInServlet.java,,sql/migration_booking_service_preorder.sql,Đang phát triển / chưa xác minh trên DB thật,Tên model khác tên bảng: LichDatSanDichVu
LichSuELO,src/main/java/org/example/model/LichSuElo.java,,,,,Tài nguyên/QuanLiSport_V4.sql,Đang dùng,Tên model khác tên bảng: LichSuElo
LichSuKhuyenMai,,,src/main/java/org/example/service/customer/PromotionService.java,,,sql/migration_promotional_codes.sql,Đang dùng,
LichXeRaVao,src/main/java/org/example/model/LichXeRaVao.java,,,,,Tài nguyên/QuanLiSport_V4.sql,Đang dùng,
LoaiSan,src/main/java/org/example/model/LoaiSan.java,src/main/java/org/example/dao/LoaiSanDAO.java; src/main/java/org/example/dao/impl/LoaiSanDAOImpl.java,src/main/java/org/example/service/AuditLogService.java; src/main/java/org/example/service/checkin/BookingExtensionService.java; src/main/java/org/example/service/checkout/CheckoutService.java,src/main/java/org/example/controller/admin/AdminOwnerServlet.java; src/main/java/org/example/controller/admin/QuanLyChiNhanhServlet.java; src/main/java/org/example/controller/customer/CustomerAccountServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/create_audit_log.sql; sql/migration_court_checkout.sql; sql/migration_soft_delete.sql; sql/verify_court_customer_visibility.sql,Đang dùng,
LoaiSan_KhungGioDen_Backup,,,,,,,Legacy — không còn dùng trong luồng nghiệp vụ chính,
MaQR,src/main/java/org/example/model/MaQR.java,,,,,Tài nguyên/QuanLiSport_V4.sql,Legacy — không còn dùng trong luồng nghiệp vụ chính,
MonTheThao,src/main/java/org/example/model/MonTheThao.java,,src/main/java/org/example/service/manager/SanQRService.java; src/main/java/org/example/service/manager/SanService.java,src/main/java/org/example/controller/admin/AdminOwnerServlet.java; src/main/java/org/example/controller/admin/QuanLyChiNhanhServlet.java; src/main/java/org/example/controller/customer/BanDoServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/migration_customer_profile.sql; sql/migration_team_management.sql; sql/verify_court_customer_visibility.sql,Đang dùng,
MonTheThaoYeuThich,src/main/java/org/example/model/MonTheThaoYeuThich.java,,,src/main/java/org/example/controller/DangNhapServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/verify_customer_profile.sql,Đang dùng,
NhatKyChat,src/main/java/org/example/model/NhatKyChat.java,,,,,Tài nguyên/QuanLiSport_V4.sql,Đang dùng,
NhatKySOSGui,src/main/java/org/example/model/NhatKySOSGui.java,,,,,Tài nguyên/QuanLiSport_V4.sql,Đang dùng,
NhomChiaTien,src/main/java/org/example/model/NhomChiaTien.java,src/main/java/org/example/dao/NhomChiaTienChiTietDAO.java; src/main/java/org/example/dao/NhomChiaTienDAO.java; src/main/java/org/example/dao/impl/NhomChiaTienDAOImpl.java; src/main/java/org/example/dao/impl/NhomChiaTienChiTietDAOImpl.java,src/main/java/org/example/service/billsplit/BillSplitService.java; src/main/java/org/example/service/billsplit/BillSplitViewBuilder.java,src/main/java/org/example/controller/customer/BillSplitCustomerServlet.java; src/main/java/org/example/controller/staff/BillSplitStaffServlet.java,,sql/migration_group_bill_split.sql; sql/verify_group_bill_split.sql,Đang dùng,
NhomChiaTienChiTiet,src/main/java/org/example/model/NhomChiaTienChiTiet.java,src/main/java/org/example/dao/NhomChiaTienChiTietDAO.java; src/main/java/org/example/dao/impl/NhomChiaTienChiTietDAOImpl.java,src/main/java/org/example/service/billsplit/BillSplitService.java; src/main/java/org/example/service/billsplit/BillSplitViewBuilder.java,src/main/java/org/example/controller/BillSplitParticipantServlet.java; src/main/java/org/example/controller/BillSplitQrServlet.java; src/main/java/org/example/controller/staff/BillSplitStaffServlet.java,,sql/migration_group_bill_split.sql; sql/verify_group_bill_split.sql,Đang dùng,
PayOSPaymentAttempt,,src/main/java/org/example/dao/PayOSPaymentAttemptDAO.java; src/main/java/org/example/dao/impl/PayOSPaymentAttemptDAOImpl.java,src/main/java/org/example/service/admin/FacilityTrashService.java; src/main/java/org/example/service/checkout/CheckoutService.java; src/main/java/org/example/service/payos/PayOSLegacyBookingFinalizationService.java,src/main/java/org/example/controller/PayOSWebhookServlet.java,,sql/diagnose_and_repair_ghost_booking.sql; sql/migrate_customer_embedded_payos_payment.sql; sql/migration_payos_payment_attempt.sql; sql/verify_payos_configuration.sql,Đang dùng,
QRRequest,src/main/java/org/example/model/QRRequest.java,src/main/java/org/example/dao/QRRequestDAO.java; src/main/java/org/example/dao/impl/QRRequestDAOImpl.java,src/main/java/org/example/service/QRRequestService.java,src/main/java/org/example/controller/customer/SanQRResolveServlet.java; src/main/java/org/example/controller/customer/api/QRRequestApiServlet.java; src/main/java/org/example/controller/staff/api/YeuCauQRActionApiServlet.java,,sql/migration_qr_request.sql,Đang dùng,
RacketStringingConfig,src/main/java/org/example/model/RacketStringingConfig.java,,src/main/java/org/example/service/customer/PublicServiceSearchService.java; src/main/java/org/example/service/customer/ServiceOrderService.java; src/main/java/org/example/service/manager/SportServiceManagerService.java,src/main/java/org/example/controller/manager/DichVuManagerServlet.java,,sql/migration_sport_service_module.sql; sql/verify_sport_service_module.sql,Đang dùng,
RacketStringingOrderDetail,src/main/java/org/example/model/RacketStringingOrderDetail.java,,src/main/java/org/example/service/customer/ServiceOrderService.java,src/main/java/org/example/controller/manager/api/YeuCauDichVuApiServlet.java,,sql/migration_sport_service_module.sql; sql/verify_sport_service_module.sql,Đang dùng,
Roles,src/main/java/org/example/model/VaiTro.java,src/main/java/org/example/dao/VaiTroDAO.java; src/main/java/org/example/dao/impl/VaiTroDAOImpl.java,src/main/java/org/example/service/manager/NhanSuService.java,src/main/java/org/example/controller/admin/QuanLyNguoiDungServlet.java; src/main/java/org/example/controller/manager/NhanSuManagerServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/fix_view_yeuCauNghi.sql,Đang dùng,Tên model khác tên bảng: VaiTro
San,src/main/java/org/example/model/San.java,src/main/java/org/example/dao/SanDAO.java; src/main/java/org/example/dao/SanPhamDichVuDAO.java; src/main/java/org/example/dao/SanQRDAO.java; src/main/java/org/example/dao/impl/SanDAOImpl.java,src/main/java/org/example/service/AuditLogService.java; src/main/java/org/example/service/QRRequestService.java; src/main/java/org/example/service/RefundService.java,src/main/java/org/example/controller/PayOSWebhookServlet.java; src/main/java/org/example/controller/admin/AdminOwnerServlet.java; src/main/java/org/example/controller/admin/QuanLyChiNhanhServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/create_audit_log.sql; sql/migration_qr_request.sql; sql/migration_refund_customer_selfservice.sql; sql/migration_san_qr.sql; sql/migration_soft_delete.sql,Đang dùng,
SanPham_DichVu,src/main/java/org/example/model/SanPham_DichVu.java,,src/main/java/org/example/service/customer/PublicProductSearchService.java; src/main/java/org/example/service/invoice/InvoiceViewService.java,src/main/java/org/example/controller/customer/BookingServicesServlet.java; src/main/java/org/example/controller/customer/DatSanServlet.java; src/main/java/org/example/controller/customer/api/FacilityDetailApiServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/migration_booking_service_preorder.sql; sql/migration_facility_capability.sql; sql/migration_sanpham_hinhanh.sql; sql/migration_soft_delete.sql; sql/migration_sport_service_module.sql,Đang dùng,
SanQR,src/main/java/org/example/model/SanQR.java,src/main/java/org/example/dao/SanQRDAO.java; src/main/java/org/example/dao/impl/SanQRDAOImpl.java,src/main/java/org/example/service/QRRequestService.java; src/main/java/org/example/service/manager/SanQRService.java,src/main/java/org/example/controller/customer/api/SanPhamQRApiServlet.java; src/main/java/org/example/controller/manager/SanQRImageServlet.java; src/main/java/org/example/controller/manager/SanQRManagerServlet.java,,sql/migration_san_qr.sql; sql/migration_san_qr_hardening.sql; sql/verify_san_qr.sql,Đang dùng,
SanQRTokenHistory,src/main/java/org/example/model/SanQRTokenHistory.java,,src/main/java/org/example/service/manager/SanQRService.java,,,sql/migration_san_qr.sql; sql/migration_san_qr_hardening.sql; sql/verify_san_qr.sql,Đang dùng,
ServiceMaterial,src/main/java/org/example/model/ServiceMaterial.java,,src/main/java/org/example/service/customer/PublicServiceSearchService.java; src/main/java/org/example/service/customer/ServiceOrderService.java; src/main/java/org/example/service/manager/SportServiceManagerService.java,src/main/java/org/example/controller/manager/DichVuManagerServlet.java; src/main/java/org/example/controller/manager/api/YeuCauDichVuApiServlet.java,,sql/migration_sport_service_module.sql; sql/verify_sport_service_module.sql,Đang dùng,
ServiceOrder,src/main/java/org/example/model/ServiceOrder.java,,src/main/java/org/example/service/customer/ServiceOrderService.java; src/main/java/org/example/service/manager/ServiceOrderManagerService.java,src/main/java/org/example/controller/manager/api/YeuCauDichVuActionApiServlet.java; src/main/java/org/example/controller/manager/api/YeuCauDichVuApiServlet.java,,sql/migration_sport_service_module.sql; sql/verify_sport_service_module.sql,Đang dùng,
ServiceOrderStatusHistory,src/main/java/org/example/model/ServiceOrderStatusHistory.java,,src/main/java/org/example/service/customer/ServiceOrderService.java; src/main/java/org/example/service/manager/ServiceOrderManagerService.java,src/main/java/org/example/controller/manager/api/YeuCauDichVuApiServlet.java,,sql/migration_sport_service_module.sql; sql/verify_sport_service_module.sql,Đang dùng,
SoftHold,src/main/java/org/example/model/SoftHold.java,src/main/java/org/example/dao/SoftHoldDAO.java; src/main/java/org/example/dao/impl/SoftHoldDAOImpl.java,,src/main/java/org/example/controller/customer/DatSanServlet.java; src/main/java/org/example/controller/customer/VisualBookingServlet.java,,sql/diagnose_and_repair_ghost_booking.sql,Đang dùng,
SportService,src/main/java/org/example/model/SportService.java,,src/main/java/org/example/service/customer/PublicServiceSearchService.java; src/main/java/org/example/service/customer/ServiceOrderService.java; src/main/java/org/example/service/manager/SportServiceManagerService.java,src/main/java/org/example/controller/manager/DichVuManagerServlet.java; src/main/java/org/example/controller/manager/api/YeuCauDichVuApiServlet.java,,sql/migration_sport_service_module.sql; sql/verify_sport_service_module.sql,Đang dùng,
SuCo,src/main/java/org/example/model/SuCo.java,src/main/java/org/example/dao/SuCoDAO.java; src/main/java/org/example/dao/impl/SuCoDAOImpl.java,,src/main/java/org/example/controller/guard/GuardBaoCaoSuCoServlet.java; src/main/java/org/example/controller/guard/GuardLichSuSuCoServlet.java,,sql/migration_guard_module.sql,Đang phát triển / chưa xác minh trên DB thật,
sysdiagrams,,,,,,,Legacy — không còn dùng trong luồng nghiệp vụ chính,
TeamInvitations,src/main/java/org/example/model/TeamInvitation.java,,src/main/java/org/example/service/team/TeamInvitationService.java,src/main/java/org/example/controller/customer/DoiNhomServlet.java,,sql/migration_team_management.sql; sql/rollback_team_management.sql; sql/verify_team_management.sql,Đang phát triển / chưa xác minh trên DB thật,Tên model khác tên bảng: TeamInvitation
TeamJoinRequests,src/main/java/org/example/model/TeamJoinRequest.java,,src/main/java/org/example/service/team/TeamService.java,src/main/java/org/example/controller/customer/DoiNhomServlet.java,,sql/migration_team_management.sql; sql/rollback_team_management.sql; sql/verify_team_management.sql,Đang phát triển / chưa xác minh trên DB thật,Tên model khác tên bảng: TeamJoinRequest
TeamMembers,src/main/java/org/example/model/TeamMember.java,,src/main/java/org/example/service/matchmaking/TeamMatchService.java; src/main/java/org/example/service/team/TeamInvitationService.java; src/main/java/org/example/service/team/TeamService.java,src/main/java/org/example/controller/customer/DoiNhomServlet.java,,sql/migration_team_management.sql; sql/rollback_team_management.sql; sql/verify_team_management.sql,Đang phát triển / chưa xác minh trên DB thật,Tên model khác tên bảng: TeamMember
Teams,src/main/java/org/example/model/Team.java,src/main/java/org/example/dao/TeamDAO.java; src/main/java/org/example/dao/TeamMatchDAO.java; src/main/java/org/example/dao/impl/TeamDAOImpl.java; src/main/java/org/example/dao/impl/TeamMatchDAOImpl.java,src/main/java/org/example/service/matchmaking/TeamMatchService.java; src/main/java/org/example/service/team/TeamInvitationService.java; src/main/java/org/example/service/team/TeamService.java,src/main/java/org/example/controller/customer/DoiNhomServlet.java,,sql/migration_team_management.sql; sql/rollback_team_management.sql; sql/verify_team_management.sql,Đang phát triển / chưa xác minh trên DB thật,Tên model khác tên bảng: Team
TheGiuXe,src/main/java/org/example/model/TheGiuXe.java,,,,,Tài nguyên/QuanLiSport_V4.sql,Đang dùng,
