SchemaName,TableName,VietnameseBusinessName,BusinessDescription,SuggestedGroupID,SuggestedGroupTitle,EstimatedRowCount,IsActiveTable,IsLegacyTable,HasPrimaryKey,HasForeignKey,HasSoftDelete,SourceOfTruth,Notes
dbo,QRRequest,Yêu cầu từ QR,"Yêu cầu khách gửi sau khi quét QR tại sân (gọi nhân viên, gọi món...).",G19,Mã QR sân,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,RacketStringingConfig,Cấu hình căng vợt,Thông số cấu hình mặc định cho dịch vụ căng vợt (1-1 với dịch vụ).,G11,Dịch vụ thể thao,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,RacketStringingOrderDetail,Chi tiết đơn căng vợt,Thông số căng vợt cụ thể của một đơn dịch vụ (1-1 với đơn).,G11,Dịch vụ thể thao,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Roles,Vai trò,"Danh mục vai trò hệ thống (Admin, Quản lý, Nhân viên, Bảo vệ, Khách hàng).",G01,Tài khoản & Phân quyền,N/A (không kết nối được DB),YES,NO,YES,NO,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,San,Sân,Sân thi đấu cụ thể thuộc một cơ sở và một loại sân.,G05,Sân & Loại sân,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,SanPham_DichVu,Sản phẩm & dịch vụ,"Sản phẩm, đồ uống, dịch vụ bán kèm tại cơ sở kèm tồn kho.",G10,Sản phẩm & Kho,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,SanQR,Mã QR sân,Mã QR gắn cho từng sân (1-1) để khách quét gọi nhân viên/đặt món.,G19,Mã QR sân,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,SanQRTokenHistory,Lịch sử token QR,Lịch sử token QR đã cấp và thu hồi cho sân.,G19,Mã QR sân,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,ServiceMaterial,Vật tư dịch vụ,"Vật tư/kho dùng cho dịch vụ thể thao (dây cước, quấn cán...).",G10,Sản phẩm & Kho,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,ServiceOrder,Đơn dịch vụ,"Đơn đặt dịch vụ thể thao của khách, có vòng đời trạng thái riêng.",G11,Dịch vụ thể thao,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,ServiceOrderStatusHistory,Lịch sử trạng thái đơn dịch vụ,Nhật ký chuyển trạng thái của đơn dịch vụ kèm người thay đổi.,G11,Dịch vụ thể thao,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,SoftHold,Giữ chỗ tạm thời,Giữ khung giờ tạm trong vài phút khi khách đang thao tác đặt sân.,G06,Đặt sân & Giữ chỗ,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,SportService,Dịch vụ thể thao,"Dịch vụ chuyên biệt: căng lưới, thay quấn cán, sửa vợt, huấn luyện viên...",G11,Dịch vụ thể thao,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,SuCo,Sự cố,"Báo cáo sự cố do bảo vệ ghi nhận tại cơ sở/sân, có quy trình xử lý.",G25,Bảo vệ & Sự cố,N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,sysdiagrams,Sơ đồ hệ thống (SSMS),"Bảng hệ thống do SQL Server Management Studio tạo, không thuộc nghiệp vụ V-SPORT.",G99,Bảng hệ thống,N/A (không kết nối được DB),NO,YES,YES,NO,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,TeamInvitations,Lời mời vào đội,Lời mời do đội trưởng gửi cho tài khoản khác.,G14,Đội nhóm người chơi,N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,TeamJoinRequests,Yêu cầu xin vào đội,Yêu cầu do người chơi gửi xin gia nhập một đội.,G14,Đội nhóm người chơi,N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,TeamMembers,Thành viên đội,Bảng trung gian N-N giữa đội và tài khoản kèm vai trò trong đội.,G14,Đội nhóm người chơi,N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,Teams,Đội nhóm,Đội/nhóm người chơi do khách hàng tạo và quản lý.,G14,Đội nhóm người chơi,N/A (không kết nối được DB),YES,NO,YES,YES,YES,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,TheGiuXe,Thẻ giữ xe,Thẻ/chỗ giữ xe phát hành tại cơ sở.,G21,Giữ xe,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,ThongBao,Thông báo,"Thông báo hệ thống gửi tới từng tài khoản, có chống trùng theo loại + mã bản ghi.",G15,Thông báo & Chat,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,YeuCauNghi,Yêu cầu nghỉ phép,"Đơn xin nghỉ của nhân viên, có quy trình duyệt.",G18,Nghỉ phép,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,YeuCauNghi_Audit,Nhật ký nghỉ phép,Nhật ký thao tác trên đơn nghỉ phép.,G18,Nghỉ phép,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,YeuCauSOS,Yêu cầu SOS,Yêu cầu khẩn tìm người chơi thay cho một lượt đặt sân.,G16,SOS,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,YeuCauUngLuong,Yêu cầu ứng lương,"Đơn xin ứng lương của nhân viên, có quy trình duyệt.",G23,"Lương, Phụ cấp & Ứng lương",N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
