ConstraintName,ChildSchema,ChildTable,ChildColumn,ParentSchema,ParentTable,ParentColumn,ChildCardinality,ParentCardinality,RelationshipType,IsChildOptional,IsOneToOne,IsPhysicalFK,OnDelete,OnUpdate,SuggestedVietnameseLabel,SuggestedGroupID,CrossGroupRelation,SourceOfTruth,Notes
FK__CaLamViec__Accou__4F47C5E3,dbo,CaLamViec_Availability,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G17,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK__CaLamViec__CoSoI__503BEA1C,dbo,CaLamViec_Availability,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G17,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK__CaLamViec__Accou__55009F39,dbo,CaLamViec_SwapRequest,AccountID_Gui,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G17,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK__CaLamViec__Accou__55F4C372,dbo,CaLamViec_SwapRequest,AccountID_Nhan,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G17,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK__CaLamViec__CaLam__56E8E7AB,dbo,CaLamViec_SwapRequest,CaLamViecID_Gui,dbo,CaLamViec,CaLamViecID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Ca làm việc,G17,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK__CaLamViec__CaLam__57DD0BE4,dbo,CaLamViec_SwapRequest,CaLamViecID_Nhan,dbo,CaLamViec,CaLamViecID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Ca làm việc,G17,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK__CaLamViec__Nguoi__58D1301D,dbo,CaLamViec_SwapRequest,NguoiDuyet,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,được duyệt bởi,G17,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_CauHinhLuong_AccountID,dbo,CauHinhLuong,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G23,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_CauHinhLuong_CoSoID,dbo,CauHinhLuong,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G23,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_Chia_Account,dbo,ChiaHoaDon,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G22,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_Chia_HoaDon,dbo,ChiaHoaDon,HoaDonID,dbo,HoaDon,HoaDonID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc hóa đơn,G22,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_CTGK_Account,dbo,ChiTietGhepKeo,AccountID_NguoiThamGia,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G13,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_CTGK_Keo,dbo,ChiTietGhepKeo,KeoID,dbo,GhepKeo,KeoID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc kèo,G13,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_ChiTietGhepKeo_TeamNguoiThamGia,dbo,ChiTietGhepKeo,TeamIDNguoiThamGia,dbo,Teams,TeamID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Đội nhóm,G13,YES,MIGRATION_SQL_NOT_IN_SNAPSHOT,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_CTHD_HoaDon,dbo,ChiTietHoaDon,HoaDonID,dbo,HoaDon,HoaDonID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc hóa đơn,G08,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_CTHD_SP,dbo,ChiTietHoaDon,SanPhamID,dbo,SanPham_DichVu,SanPhamID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,là sản phẩm,G08,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_CoSo_QuanLy,dbo,CoSo,AccountID_QuanLy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G04,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_CoSoCapability_ApprovedBy,dbo,CoSoCapability,ApprovedBy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,được duyệt bởi,G04,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_CoSoCapability_CoSo,dbo,CoSoCapability,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G04,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_FaceConfig_CoSo,dbo,CoSoFaceConfig,CoSoID,dbo,CoSo,CoSoID,0..1,0..1,ONE_TO_ONE,YES,YES,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G24,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_CoSoNganHang_CoSo,dbo,CoSoNganHang,CoSoID,dbo,CoSo,CoSoID,1,1,ONE_TO_ONE,NO,YES,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G04,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_CourtChargeSegment_HoaDon,dbo,CourtChargeSegment,HoaDonID,dbo,HoaDon,HoaDonID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc hóa đơn,G07,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_CourtChargeSegment_LichDatSan,dbo,CourtChargeSegment,DatSanID,dbo,LichDatSan,DatSanID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G07,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_ReputationHistory_Account,dbo,CustomerReputationHistory,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G20,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_ReputationHistory_Actor,dbo,CustomerReputationHistory,CreatedBy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,được tạo bởi,G20,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_ReputationHistory_DatSan,dbo,CustomerReputationHistory,DatSanID,dbo,LichDatSan,DatSanID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G20,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_DanhGia_DatSan,dbo,DanhGia,DatSanID,dbo,LichDatSan,DatSanID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G20,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_DanhGia_NguoiBiDanhGia,dbo,DanhGia,AccountID_NguoiBiDanhGia,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G20,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_DanhGia_NguoiDanhGia,dbo,DanhGia,AccountID_NguoiDanhGia,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G20,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_FaceToken_Accounts,dbo,FaceChallengeToken,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G24,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_GhepKeo_Account,dbo,GhepKeo,AccountID_NguoiTao,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G13,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_GhepKeo_DatSan,dbo,GhepKeo,DatSanID,dbo,LichDatSan,DatSanID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G13,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_GhepKeo_Mon,dbo,GhepKeo,MonTheThaoID,dbo,MonTheThao,MonTheThaoID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc môn thể thao,G13,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_GhepKeo_TeamNguoiTao,dbo,GhepKeo,TeamIDNguoiTao,dbo,Teams,TeamID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Đội nhóm,G13,YES,MIGRATION_SQL_NOT_IN_SNAPSHOT,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_HD_DatSan,dbo,HoaDon,DatSanID,dbo,LichDatSan,DatSanID,0..1,0..1,ONE_TO_ONE,YES,YES,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G08,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_HD_Khach,dbo,HoaDon,AccountID_KhachHang,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G08,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_HD_KhuyenMai,dbo,HoaDon,KhuyenMaiID,dbo,KhuyenMai,KhuyenMaiID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,áp dụng khuyến mãi,G08,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_HD_NhanVien,dbo,HoaDon,AccountID_NhanVien,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G08,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_HoaDon_Parent,dbo,HoaDon,ParentHoaDonID,dbo,HoaDon,HoaDonID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,là hóa đơn con của,G08,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_HoanTien_Account,dbo,HoanTien,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G09,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_HoanTien_HoaDon,dbo,HoanTien,HoaDonID,dbo,HoaDon,HoaDonID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc hóa đơn,G09,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_KM_CoSo,dbo,KhuyenMai,CoSoID,dbo,CoSo,CoSoID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G12,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_KhuyenMaiHinhAnh_KhuyenMai,dbo,KhuyenMaiHinhAnh,KhuyenMaiID,dbo,KhuyenMai,KhuyenMaiID,1,1,ONE_TO_ONE,NO,YES,TRUE,NO ACTION,NO ACTION,áp dụng khuyến mãi,G12,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_KyLuong_CoSoID,dbo,KyLuong,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G23,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_KyLuong_CreatedBy,dbo,KyLuong,CreatedBy,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,được tạo bởi,G23,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_DatSan_Account,dbo,LichDatSan,AccountID,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G06,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_DatSan_San,dbo,LichDatSan,SanID,dbo,San,SanID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc sân,G06,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_LichDatSan_CancelledBy,dbo,LichDatSan,CancelledBy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,bị hủy bởi,G06,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_LichDatSan_ConfirmedBy,dbo,LichDatSan,ConfirmedBy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,được xác nhận bởi,G06,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_LDSDV_DatSan,dbo,LichDatSan_DichVu,DatSanID,dbo,LichDatSan,DatSanID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G06,NO,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_LDSDV_DeliveredBy,dbo,LichDatSan_DichVu,DeliveredBy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G06,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_LDSDV_SanPham,dbo,LichDatSan_DichVu,SanPhamID,dbo,SanPham_DichVu,SanPhamID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,là sản phẩm,G06,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_LichSuELO_Account,dbo,LichSuELO,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G20,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_LichSuELO_DatSan,dbo,LichSuELO,DatSanID,dbo,LichDatSan,DatSanID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G20,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_LichSuKM_Account,dbo,LichSuKhuyenMai,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G12,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_LichSuKM_KhuyenMai,dbo,LichSuKhuyenMai,KhuyenMaiID,dbo,KhuyenMai,KhuyenMaiID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,áp dụng khuyến mãi,G12,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_Xe_DatSan,dbo,LichXeRaVao,DatSanID,dbo,LichDatSan,DatSanID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G21,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_Xe_NhanVien,dbo,LichXeRaVao,AccountID_NhanVien,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G21,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_Xe_The,dbo,LichXeRaVao,TheID,dbo,TheGiuXe,TheID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,dùng thẻ xe,G21,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_LoaiSan_CoSo,dbo,LoaiSan,CoSoID,dbo,CoSo,CoSoID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G05,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_LoaiSan_Mon,dbo,LoaiSan,MonTheThaoID,dbo,MonTheThao,MonTheThaoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc môn thể thao,G05,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_QR_Chia,dbo,MaQR,ChiaHoaDonID,dbo,ChiaHoaDon,ChiaHoaDonID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Chia hóa đơn (cũ),G22,NO,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_MTTYT_Account,dbo,MonTheThaoYeuThich,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G01,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_MTTYT_Mon,dbo,MonTheThaoYeuThich,MonTheThaoID,dbo,MonTheThao,MonTheThaoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc môn thể thao,G01,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_Chat_Account,dbo,NhatKyChat,AccountID,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G15,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SOSGui_Account,dbo,NhatKySOSGui,AccountID_NhanGui,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G16,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SOSGui_YeuCau,dbo,NhatKySOSGui,YeuCauSOSID,dbo,YeuCauSOS,YeuCauSOSID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Yêu cầu SOS,G16,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_NhomChiaTien_Creator,dbo,NhomChiaTien,CreatedByAccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G22,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_NhomChiaTien_DatSan,dbo,NhomChiaTien,DatSanID,dbo,LichDatSan,DatSanID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G22,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_NhomChiaTien_HoaDon,dbo,NhomChiaTien,HoaDonID,dbo,HoaDon,HoaDonID,1,1,ONE_TO_ONE,NO,YES,TRUE,NO ACTION,NO ACTION,thuộc hóa đơn,G22,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_NhomChiaTienChiTiet_Account,dbo,NhomChiaTienChiTiet,AccountID,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G22,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_NhomChiaTienChiTiet_Nhom,dbo,NhomChiaTienChiTiet,NhomChiaTienID,dbo,NhomChiaTien,NhomChiaTienID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc nhóm chia tiền,G22,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_NhomChiaTienChiTiet_Payer,dbo,NhomChiaTienChiTiet,PayerAccountID,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G22,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_NhomChiaTienChiTiet_Staff,dbo,NhomChiaTienChiTiet,ConfirmedByStaffID,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G22,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_PayOSPaymentAttempt_CoSo,dbo,PayOSPaymentAttempt,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G08,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_PayOSPaymentAttempt_HoaDon,dbo,PayOSPaymentAttempt,HoaDonID,dbo,HoaDon,HoaDonID,1,1,ONE_TO_ONE,NO,YES,TRUE,NO ACTION,NO ACTION,thuộc hóa đơn,G08,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_PayOSPaymentAttempt_LichDatSan,dbo,PayOSPaymentAttempt,DatSanID,dbo,LichDatSan,DatSanID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G08,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_QRRequest_CoSo,dbo,QRRequest,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G19,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_QRRequest_San,dbo,QRRequest,SanID,dbo,San,SanID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc sân,G19,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_RacketCfg_Service,dbo,RacketStringingConfig,ServiceID,dbo,SportService,ServiceID,1,1,ONE_TO_ONE,NO,YES,TRUE,NO ACTION,NO ACTION,thuộc dịch vụ,G11,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_RSOD_Material,dbo,RacketStringingOrderDetail,MaterialID,dbo,ServiceMaterial,MaterialID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Vật tư dịch vụ,G11,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_RSOD_Order,dbo,RacketStringingOrderDetail,OrderID,dbo,ServiceOrder,OrderID,1,1,ONE_TO_ONE,NO,YES,TRUE,NO ACTION,NO ACTION,thuộc đơn dịch vụ,G11,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_San_CoSo,dbo,San,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G05,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_San_LoaiSan,dbo,San,LoaiSanID,dbo,LoaiSan,LoaiSanID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc loại sân,G05,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SP_CoSo,dbo,SanPham_DichVu,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G10,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SP_DanhMuc,dbo,SanPham_DichVu,DanhMucID,dbo,DanhMucSanPham,DanhMucID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc danh mục,G10,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SanQR_CreatedBy,dbo,SanQR,CreatedBy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,được tạo bởi,G19,YES,LIVE_DB_SNAPSHOT_2026-08-02,
