GroupID,GroupOrder,GroupTitle,GroupSubtitle,GroupBusinessDescription,TableName,TableDisplayName,TableOrder,IsCentralTable,PreferredPosition,ShowFullColumns,AllowRepeatAsReference,OriginalGroupID,Notes
G04,4,Cơ sở thể thao,Chi nhánh và cấu hình,"Bao gồm các bảng: CoSo, CoSoCapability, CoSoNganHang và Accounts. Nhóm này quản lý từng cơ sở/chi nhánh, người quản lý phụ trách, các năng lực dịch vụ được duyệt và tài khoản ngân hàng nhận tiền.",CoSoNganHang,Tài khoản ngân hàng cơ sở,11,NO,RIGHT,YES,NO,,
G04,4,Cơ sở thể thao,Chi nhánh và cấu hình,"Bao gồm các bảng: CoSo, CoSoCapability, CoSoNganHang và Accounts. Nhóm này quản lý từng cơ sở/chi nhánh, người quản lý phụ trách, các năng lực dịch vụ được duyệt và tài khoản ngân hàng nhận tiền.",Accounts,Tài khoản,12,NO,TOP,NO,YES,G01,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G01 (Tài khoản & Phân quyền)
G05,5,Sân & Loại sân,Cấu trúc sân và bảng giá,"Bao gồm các bảng: San, LoaiSan, MonTheThao và LoaiSan_KhungGioDen_Backup. Nhóm này mô tả từng sân thi đấu thuộc cơ sở, loại sân theo môn thể thao cùng bảng giá và khung giờ bật đèn.",San,Sân,13,YES,CENTER,YES,NO,,
G05,5,Sân & Loại sân,Cấu trúc sân và bảng giá,"Bao gồm các bảng: San, LoaiSan, MonTheThao và LoaiSan_KhungGioDen_Backup. Nhóm này mô tả từng sân thi đấu thuộc cơ sở, loại sân theo môn thể thao cùng bảng giá và khung giờ bật đèn.",LoaiSan,Loại sân,14,NO,LEFT,YES,NO,,
G05,5,Sân & Loại sân,Cấu trúc sân và bảng giá,"Bao gồm các bảng: San, LoaiSan, MonTheThao và LoaiSan_KhungGioDen_Backup. Nhóm này mô tả từng sân thi đấu thuộc cơ sở, loại sân theo môn thể thao cùng bảng giá và khung giờ bật đèn.",LoaiSan_KhungGioDen_Backup,Sao lưu khung giờ đèn,15,NO,RIGHT,YES,NO,,
G05,5,Sân & Loại sân,Cấu trúc sân và bảng giá,"Bao gồm các bảng: San, LoaiSan, MonTheThao và LoaiSan_KhungGioDen_Backup. Nhóm này mô tả từng sân thi đấu thuộc cơ sở, loại sân theo môn thể thao cùng bảng giá và khung giờ bật đèn.",MonTheThao,Môn thể thao,16,NO,TOP,NO,YES,G03,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G03 (Môn thể thao)
G05,5,Sân & Loại sân,Cấu trúc sân và bảng giá,"Bao gồm các bảng: San, LoaiSan, MonTheThao và LoaiSan_KhungGioDen_Backup. Nhóm này mô tả từng sân thi đấu thuộc cơ sở, loại sân theo môn thể thao cùng bảng giá và khung giờ bật đèn.",CoSo,Cơ sở thể thao,17,NO,BOTTOM,NO,YES,G04,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G04 (Cơ sở thể thao)
G06,6,Đặt sân & Giữ chỗ,Booking và hold tạm thời,"Bao gồm các bảng: LichDatSan, SoftHold, BookingExtension và LichDatSan_DichVu. Nhóm này là trung tâm nghiệp vụ đặt sân, từ giữ chỗ tạm thời khi khách thao tác đến gia hạn giờ chơi và dịch vụ đặt kèm.",LichDatSan,Lịch đặt sân,18,YES,CENTER,YES,NO,,
G06,6,Đặt sân & Giữ chỗ,Booking và hold tạm thời,"Bao gồm các bảng: LichDatSan, SoftHold, BookingExtension và LichDatSan_DichVu. Nhóm này là trung tâm nghiệp vụ đặt sân, từ giữ chỗ tạm thời khi khách thao tác đến gia hạn giờ chơi và dịch vụ đặt kèm.",BookingExtension,Gia hạn đặt sân,19,NO,LEFT,YES,NO,,
G06,6,Đặt sân & Giữ chỗ,Booking và hold tạm thời,"Bao gồm các bảng: LichDatSan, SoftHold, BookingExtension và LichDatSan_DichVu. Nhóm này là trung tâm nghiệp vụ đặt sân, từ giữ chỗ tạm thời khi khách thao tác đến gia hạn giờ chơi và dịch vụ đặt kèm.",LichDatSan_DichVu,Dịch vụ đặt trước,20,NO,RIGHT,YES,NO,,
G06,6,Đặt sân & Giữ chỗ,Booking và hold tạm thời,"Bao gồm các bảng: LichDatSan, SoftHold, BookingExtension và LichDatSan_DichVu. Nhóm này là trung tâm nghiệp vụ đặt sân, từ giữ chỗ tạm thời khi khách thao tác đến gia hạn giờ chơi và dịch vụ đặt kèm.",SoftHold,Giữ chỗ tạm thời,21,NO,TOP,YES,NO,,
G07,7,Check-in & Phiên sử dụng sân,"Mở sân, kết thúc phiên","Bao gồm các bảng: CourtChargeSegment, LichDatSan và HoaDon. Nhóm này ghi lại phiên sử dụng sân thực tế và chia lượt chơi thành các đoạn giá có đèn hoặc không đèn để tính tiền khi kết thúc.",CourtChargeSegment,Đoạn tính tiền sân,22,YES,CENTER,YES,NO,,
G07,7,Check-in & Phiên sử dụng sân,"Mở sân, kết thúc phiên","Bao gồm các bảng: CourtChargeSegment, LichDatSan và HoaDon. Nhóm này ghi lại phiên sử dụng sân thực tế và chia lượt chơi thành các đoạn giá có đèn hoặc không đèn để tính tiền khi kết thúc.",LichDatSan,Lịch đặt sân,23,NO,LEFT,NO,YES,G06,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G06 (Đặt sân & Giữ chỗ)
G07,7,Check-in & Phiên sử dụng sân,"Mở sân, kết thúc phiên","Bao gồm các bảng: CourtChargeSegment, LichDatSan và HoaDon. Nhóm này ghi lại phiên sử dụng sân thực tế và chia lượt chơi thành các đoạn giá có đèn hoặc không đèn để tính tiền khi kết thúc.",HoaDon,Hóa đơn,24,NO,RIGHT,NO,YES,G08,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G08 (Hóa đơn & Thanh toán)
G08,8,Hóa đơn & Thanh toán,"Hóa đơn, chi tiết, PayOS","Bao gồm các bảng: HoaDon, ChiTietHoaDon, PayOSPaymentAttempt và LichDatSan. Nhóm này quản lý hóa đơn của lượt đặt sân, từng dòng sản phẩm trong hóa đơn và các lượt thanh toán qua cổng PayOS.",HoaDon,Hóa đơn,25,YES,CENTER,YES,NO,,
G08,8,Hóa đơn & Thanh toán,"Hóa đơn, chi tiết, PayOS","Bao gồm các bảng: HoaDon, ChiTietHoaDon, PayOSPaymentAttempt và LichDatSan. Nhóm này quản lý hóa đơn của lượt đặt sân, từng dòng sản phẩm trong hóa đơn và các lượt thanh toán qua cổng PayOS.",ChiTietHoaDon,Chi tiết hóa đơn,26,NO,LEFT,YES,NO,,
G08,8,Hóa đơn & Thanh toán,"Hóa đơn, chi tiết, PayOS","Bao gồm các bảng: HoaDon, ChiTietHoaDon, PayOSPaymentAttempt và LichDatSan. Nhóm này quản lý hóa đơn của lượt đặt sân, từng dòng sản phẩm trong hóa đơn và các lượt thanh toán qua cổng PayOS.",PayOSPaymentAttempt,Lượt thanh toán PayOS,27,NO,RIGHT,YES,NO,,
G08,8,Hóa đơn & Thanh toán,"Hóa đơn, chi tiết, PayOS","Bao gồm các bảng: HoaDon, ChiTietHoaDon, PayOSPaymentAttempt và LichDatSan. Nhóm này quản lý hóa đơn của lượt đặt sân, từng dòng sản phẩm trong hóa đơn và các lượt thanh toán qua cổng PayOS.",LichDatSan,Lịch đặt sân,28,NO,TOP,NO,YES,G06,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G06 (Đặt sân & Giữ chỗ)
G09,9,Hoàn tiền,Quy trình refund,"Bao gồm các bảng: HoanTien, HoaDon và Accounts. Nhóm này quản lý yêu cầu hoàn tiền của khách sau khi hủy đặt sân, gồm số tiền, trạng thái duyệt và người xử lý.",HoanTien,Hoàn tiền,29,YES,CENTER,YES,NO,,
G09,9,Hoàn tiền,Quy trình refund,"Bao gồm các bảng: HoanTien, HoaDon và Accounts. Nhóm này quản lý yêu cầu hoàn tiền của khách sau khi hủy đặt sân, gồm số tiền, trạng thái duyệt và người xử lý.",HoaDon,Hóa đơn,30,NO,LEFT,NO,YES,G08,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G08 (Hóa đơn & Thanh toán)
G09,9,Hoàn tiền,Quy trình refund,"Bao gồm các bảng: HoanTien, HoaDon và Accounts. Nhóm này quản lý yêu cầu hoàn tiền của khách sau khi hủy đặt sân, gồm số tiền, trạng thái duyệt và người xử lý.",Accounts,Tài khoản,31,NO,RIGHT,NO,YES,G01,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G01 (Tài khoản & Phân quyền)
G10,10,Sản phẩm & Kho,Hàng hóa bán tại cơ sở,"Bao gồm các bảng: SanPham_DichVu, DanhMucSanPham và ServiceMaterial. Nhóm này quản lý sản phẩm, đồ uống bán lẻ tại cơ sở theo danh mục và vật tư kho dùng cho các dịch vụ thể thao.",SanPham_DichVu,Sản phẩm & dịch vụ,32,YES,CENTER,YES,NO,,
G10,10,Sản phẩm & Kho,Hàng hóa bán tại cơ sở,"Bao gồm các bảng: SanPham_DichVu, DanhMucSanPham và ServiceMaterial. Nhóm này quản lý sản phẩm, đồ uống bán lẻ tại cơ sở theo danh mục và vật tư kho dùng cho các dịch vụ thể thao.",DanhMucSanPham,Danh mục sản phẩm,33,NO,LEFT,YES,NO,,
G10,10,Sản phẩm & Kho,Hàng hóa bán tại cơ sở,"Bao gồm các bảng: SanPham_DichVu, DanhMucSanPham và ServiceMaterial. Nhóm này quản lý sản phẩm, đồ uống bán lẻ tại cơ sở theo danh mục và vật tư kho dùng cho các dịch vụ thể thao.",ServiceMaterial,Vật tư dịch vụ,34,NO,RIGHT,YES,NO,,
G11,11,Dịch vụ thể thao,Đơn dịch vụ và căng vợt,"Bao gồm các bảng: SportService, ServiceOrder, ServiceOrderStatusHistory, RacketStringingConfig và RacketStringingOrderDetail. Nhóm này quản lý dịch vụ chuyên biệt như căng vợt, sửa vợt và vòng đời trạng thái của từng đơn dịch vụ.",ServiceOrder,Đơn dịch vụ,35,YES,CENTER,YES,NO,,
G11,11,Dịch vụ thể thao,Đơn dịch vụ và căng vợt,"Bao gồm các bảng: SportService, ServiceOrder, ServiceOrderStatusHistory, RacketStringingConfig và RacketStringingOrderDetail. Nhóm này quản lý dịch vụ chuyên biệt như căng vợt, sửa vợt và vòng đời trạng thái của từng đơn dịch vụ.",RacketStringingConfig,Cấu hình căng vợt,36,NO,LEFT,YES,NO,,
G11,11,Dịch vụ thể thao,Đơn dịch vụ và căng vợt,"Bao gồm các bảng: SportService, ServiceOrder, ServiceOrderStatusHistory, RacketStringingConfig và RacketStringingOrderDetail. Nhóm này quản lý dịch vụ chuyên biệt như căng vợt, sửa vợt và vòng đời trạng thái của từng đơn dịch vụ.",RacketStringingOrderDetail,Chi tiết đơn căng vợt,37,NO,RIGHT,YES,NO,,
G11,11,Dịch vụ thể thao,Đơn dịch vụ và căng vợt,"Bao gồm các bảng: SportService, ServiceOrder, ServiceOrderStatusHistory, RacketStringingConfig và RacketStringingOrderDetail. Nhóm này quản lý dịch vụ chuyên biệt như căng vợt, sửa vợt và vòng đời trạng thái của từng đơn dịch vụ.",ServiceOrderStatusHistory,Lịch sử trạng thái đơn dịch vụ,38,NO,TOP,YES,NO,,
G11,11,Dịch vụ thể thao,Đơn dịch vụ và căng vợt,"Bao gồm các bảng: SportService, ServiceOrder, ServiceOrderStatusHistory, RacketStringingConfig và RacketStringingOrderDetail. Nhóm này quản lý dịch vụ chuyên biệt như căng vợt, sửa vợt và vòng đời trạng thái của từng đơn dịch vụ.",SportService,Dịch vụ thể thao,39,NO,BOTTOM,YES,NO,,
G12,12,Khuyến mãi,Mã giảm giá và lịch sử dùng,"Bao gồm các bảng: KhuyenMai, KhuyenMaiHinhAnh và LichSuKhuyenMai. Nhóm này quản lý chương trình khuyến mãi của từng cơ sở, hình ảnh minh họa và lịch sử mỗi lần khách sử dụng mã.",KhuyenMai,Khuyến mãi,40,YES,CENTER,YES,NO,,
G12,12,Khuyến mãi,Mã giảm giá và lịch sử dùng,"Bao gồm các bảng: KhuyenMai, KhuyenMaiHinhAnh và LichSuKhuyenMai. Nhóm này quản lý chương trình khuyến mãi của từng cơ sở, hình ảnh minh họa và lịch sử mỗi lần khách sử dụng mã.",KhuyenMaiHinhAnh,Hình ảnh khuyến mãi,41,NO,LEFT,YES,NO,,
G12,12,Khuyến mãi,Mã giảm giá và lịch sử dùng,"Bao gồm các bảng: KhuyenMai, KhuyenMaiHinhAnh và LichSuKhuyenMai. Nhóm này quản lý chương trình khuyến mãi của từng cơ sở, hình ảnh minh họa và lịch sử mỗi lần khách sử dụng mã.",LichSuKhuyenMai,Lịch sử dùng khuyến mãi,42,NO,RIGHT,YES,NO,,
G13,13,Ghép kèo,Tìm người chơi cùng,"Bao gồm các bảng: GhepKeo, ChiTietGhepKeo, LichDatSan và MonTheThao. Nhóm này cho phép khách đăng kèo từ một lượt đặt sân và quản lý danh sách người tham gia được duyệt tự động hoặc thủ công.",GhepKeo,Ghép kèo,43,YES,CENTER,YES,NO,,
G13,13,Ghép kèo,Tìm người chơi cùng,"Bao gồm các bảng: GhepKeo, ChiTietGhepKeo, LichDatSan và MonTheThao. Nhóm này cho phép khách đăng kèo từ một lượt đặt sân và quản lý danh sách người tham gia được duyệt tự động hoặc thủ công.",ChiTietGhepKeo,Người tham gia kèo,44,NO,LEFT,YES,NO,,
G13,13,Ghép kèo,Tìm người chơi cùng,"Bao gồm các bảng: GhepKeo, ChiTietGhepKeo, LichDatSan và MonTheThao. Nhóm này cho phép khách đăng kèo từ một lượt đặt sân và quản lý danh sách người tham gia được duyệt tự động hoặc thủ công.",LichDatSan,Lịch đặt sân,45,NO,RIGHT,NO,YES,G06,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G06 (Đặt sân & Giữ chỗ)
G13,13,Ghép kèo,Tìm người chơi cùng,"Bao gồm các bảng: GhepKeo, ChiTietGhepKeo, LichDatSan và MonTheThao. Nhóm này cho phép khách đăng kèo từ một lượt đặt sân và quản lý danh sách người tham gia được duyệt tự động hoặc thủ công.",MonTheThao,Môn thể thao,46,NO,TOP,NO,YES,G03,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G03 (Môn thể thao)
G14,14,Đội nhóm người chơi,"Team, mời và xin vào đội","Bao gồm các bảng: Teams, TeamMembers, TeamInvitations và TeamJoinRequests. Nhóm này quản lý đội do khách hàng lập, thành viên và vai trò trong đội, cùng hai luồng mời vào đội và xin gia nhập.",Teams,Đội nhóm,47,YES,CENTER,YES,NO,,
G14,14,Đội nhóm người chơi,"Team, mời và xin vào đội","Bao gồm các bảng: Teams, TeamMembers, TeamInvitations và TeamJoinRequests. Nhóm này quản lý đội do khách hàng lập, thành viên và vai trò trong đội, cùng hai luồng mời vào đội và xin gia nhập.",TeamInvitations,Lời mời vào đội,48,NO,LEFT,YES,NO,,
G14,14,Đội nhóm người chơi,"Team, mời và xin vào đội","Bao gồm các bảng: Teams, TeamMembers, TeamInvitations và TeamJoinRequests. Nhóm này quản lý đội do khách hàng lập, thành viên và vai trò trong đội, cùng hai luồng mời vào đội và xin gia nhập.",TeamJoinRequests,Yêu cầu xin vào đội,49,NO,RIGHT,YES,NO,,
G14,14,Đội nhóm người chơi,"Team, mời và xin vào đội","Bao gồm các bảng: Teams, TeamMembers, TeamInvitations và TeamJoinRequests. Nhóm này quản lý đội do khách hàng lập, thành viên và vai trò trong đội, cùng hai luồng mời vào đội và xin gia nhập.",TeamMembers,Thành viên đội,50,NO,TOP,YES,NO,,
G15,15,Thông báo & Chat,Kênh liên lạc hệ thống,"Bao gồm các bảng: ThongBao, NhatKyChat và Accounts. Nhóm này lưu thông báo hệ thống gửi tới từng tài khoản với cơ chế chống trùng, và lịch sử hội thoại với trợ lý chatbot.",ThongBao,Thông báo,51,YES,CENTER,YES,NO,,
G15,15,Thông báo & Chat,Kênh liên lạc hệ thống,"Bao gồm các bảng: ThongBao, NhatKyChat và Accounts. Nhóm này lưu thông báo hệ thống gửi tới từng tài khoản với cơ chế chống trùng, và lịch sử hội thoại với trợ lý chatbot.",NhatKyChat,Nhật ký chat,52,NO,LEFT,YES,NO,,
G15,15,Thông báo & Chat,Kênh liên lạc hệ thống,"Bao gồm các bảng: ThongBao, NhatKyChat và Accounts. Nhóm này lưu thông báo hệ thống gửi tới từng tài khoản với cơ chế chống trùng, và lịch sử hội thoại với trợ lý chatbot.",Accounts,Tài khoản,53,NO,RIGHT,NO,YES,G01,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G01 (Tài khoản & Phân quyền)
G16,16,SOS,Tìm người chơi khẩn cấp,"Bao gồm các bảng: YeuCauSOS, NhatKySOSGui và LichDatSan. Nhóm này xử lý yêu cầu khẩn tìm người chơi thay cho một lượt đặt sân và ghi nhật ký từng lượt gửi thông báo tới người nhận.",YeuCauSOS,Yêu cầu SOS,54,YES,CENTER,YES,NO,,
G16,16,SOS,Tìm người chơi khẩn cấp,"Bao gồm các bảng: YeuCauSOS, NhatKySOSGui và LichDatSan. Nhóm này xử lý yêu cầu khẩn tìm người chơi thay cho một lượt đặt sân và ghi nhật ký từng lượt gửi thông báo tới người nhận.",NhatKySOSGui,Nhật ký gửi SOS,55,NO,LEFT,YES,NO,,
G16,16,SOS,Tìm người chơi khẩn cấp,"Bao gồm các bảng: YeuCauSOS, NhatKySOSGui và LichDatSan. Nhóm này xử lý yêu cầu khẩn tìm người chơi thay cho một lượt đặt sân và ghi nhật ký từng lượt gửi thông báo tới người nhận.",LichDatSan,Lịch đặt sân,56,NO,RIGHT,NO,YES,G06,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G06 (Đặt sân & Giữ chỗ)
G17,17,Ca làm việc,Xếp ca và điểm danh,"Bao gồm các bảng: CaLamViec, CaLamViec_Audit, CaLamViec_Availability và CaLamViec_SwapRequest. Nhóm này quản lý lịch ca của nhân viên và bảo vệ, thời gian rảnh đăng ký, yêu cầu đổi ca và nhật ký thay đổi.",CaLamViec,Ca làm việc,57,YES,CENTER,YES,NO,,
G17,17,Ca làm việc,Xếp ca và điểm danh,"Bao gồm các bảng: CaLamViec, CaLamViec_Audit, CaLamViec_Availability và CaLamViec_SwapRequest. Nhóm này quản lý lịch ca của nhân viên và bảo vệ, thời gian rảnh đăng ký, yêu cầu đổi ca và nhật ký thay đổi.",CaLamViec_Audit,Nhật ký ca làm việc,58,NO,LEFT,YES,NO,,
G17,17,Ca làm việc,Xếp ca và điểm danh,"Bao gồm các bảng: CaLamViec, CaLamViec_Audit, CaLamViec_Availability và CaLamViec_SwapRequest. Nhóm này quản lý lịch ca của nhân viên và bảo vệ, thời gian rảnh đăng ký, yêu cầu đổi ca và nhật ký thay đổi.",CaLamViec_Availability,Thời gian rảnh nhân viên,59,NO,RIGHT,YES,NO,,
G17,17,Ca làm việc,Xếp ca và điểm danh,"Bao gồm các bảng: CaLamViec, CaLamViec_Audit, CaLamViec_Availability và CaLamViec_SwapRequest. Nhóm này quản lý lịch ca của nhân viên và bảo vệ, thời gian rảnh đăng ký, yêu cầu đổi ca và nhật ký thay đổi.",CaLamViec_SwapRequest,Yêu cầu đổi ca,60,NO,TOP,YES,NO,,
G18,18,Nghỉ phép,Đơn nghỉ và nhật ký duyệt,"Bao gồm các bảng: YeuCauNghi, YeuCauNghi_Audit và Accounts. Nhóm này quản lý đơn xin nghỉ của nhân viên theo cơ sở, quy trình duyệt của quản lý và nhật ký mọi thao tác trên đơn.",YeuCauNghi,Yêu cầu nghỉ phép,61,YES,CENTER,YES,NO,,
G18,18,Nghỉ phép,Đơn nghỉ và nhật ký duyệt,"Bao gồm các bảng: YeuCauNghi, YeuCauNghi_Audit và Accounts. Nhóm này quản lý đơn xin nghỉ của nhân viên theo cơ sở, quy trình duyệt của quản lý và nhật ký mọi thao tác trên đơn.",YeuCauNghi_Audit,Nhật ký nghỉ phép,62,NO,LEFT,YES,NO,,
G18,18,Nghỉ phép,Đơn nghỉ và nhật ký duyệt,"Bao gồm các bảng: YeuCauNghi, YeuCauNghi_Audit và Accounts. Nhóm này quản lý đơn xin nghỉ của nhân viên theo cơ sở, quy trình duyệt của quản lý và nhật ký mọi thao tác trên đơn.",Accounts,Tài khoản,63,NO,RIGHT,NO,YES,G01,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G01 (Tài khoản & Phân quyền)
G19,19,Mã QR sân,QR tại sân và yêu cầu khách,"Bao gồm các bảng: SanQR, SanQRTokenHistory, QRRequest và San. Nhóm này quản lý mã QR gắn cho từng sân, lịch sử token đã cấp hoặc thu hồi và các yêu cầu khách gửi sau khi quét mã.",SanQR,Mã QR sân,64,YES,CENTER,YES,NO,,
G19,19,Mã QR sân,QR tại sân và yêu cầu khách,"Bao gồm các bảng: SanQR, SanQRTokenHistory, QRRequest và San. Nhóm này quản lý mã QR gắn cho từng sân, lịch sử token đã cấp hoặc thu hồi và các yêu cầu khách gửi sau khi quét mã.",QRRequest,Yêu cầu từ QR,65,NO,LEFT,YES,NO,,
G19,19,Mã QR sân,QR tại sân và yêu cầu khách,"Bao gồm các bảng: SanQR, SanQRTokenHistory, QRRequest và San. Nhóm này quản lý mã QR gắn cho từng sân, lịch sử token đã cấp hoặc thu hồi và các yêu cầu khách gửi sau khi quét mã.",SanQRTokenHistory,Lịch sử token QR,66,NO,RIGHT,YES,NO,,
G19,19,Mã QR sân,QR tại sân và yêu cầu khách,"Bao gồm các bảng: SanQR, SanQRTokenHistory, QRRequest và San. Nhóm này quản lý mã QR gắn cho từng sân, lịch sử token đã cấp hoặc thu hồi và các yêu cầu khách gửi sau khi quét mã.",San,Sân,67,NO,TOP,NO,YES,G05,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G05 (Sân & Loại sân)
G20,20,"Đánh giá, ELO & Uy tín",Điểm số người chơi,"Bao gồm các bảng: DanhGia, LichSuELO, CustomerReputationHistory và Accounts. Nhóm này lưu đánh giá sau trận giữa người chơi, biến động điểm trình độ ELO và điểm uy tín của khách hàng.",CustomerReputationHistory,Lịch sử điểm uy tín,68,NO,LEFT,YES,NO,,
G20,20,"Đánh giá, ELO & Uy tín",Điểm số người chơi,"Bao gồm các bảng: DanhGia, LichSuELO, CustomerReputationHistory và Accounts. Nhóm này lưu đánh giá sau trận giữa người chơi, biến động điểm trình độ ELO và điểm uy tín của khách hàng.",DanhGia,Đánh giá,69,NO,RIGHT,YES,NO,,
G20,20,"Đánh giá, ELO & Uy tín",Điểm số người chơi,"Bao gồm các bảng: DanhGia, LichSuELO, CustomerReputationHistory và Accounts. Nhóm này lưu đánh giá sau trận giữa người chơi, biến động điểm trình độ ELO và điểm uy tín của khách hàng.",LichSuELO,Lịch sử điểm ELO,70,NO,TOP,YES,NO,,
G20,20,"Đánh giá, ELO & Uy tín",Điểm số người chơi,"Bao gồm các bảng: DanhGia, LichSuELO, CustomerReputationHistory và Accounts. Nhóm này lưu đánh giá sau trận giữa người chơi, biến động điểm trình độ ELO và điểm uy tín của khách hàng.",Accounts,Tài khoản,71,NO,BOTTOM,NO,YES,G01,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G01 (Tài khoản & Phân quyền)
G21,21,Giữ xe,Thẻ xe và lượt ra vào,"Bao gồm các bảng: TheGiuXe, LichXeRaVao và LichDatSan. Nhóm này quản lý thẻ giữ xe phát hành tại cơ sở và nhật ký từng lượt xe vào, ra bãi gắn với lượt đặt sân tương ứng.",TheGiuXe,Thẻ giữ xe,72,YES,CENTER,YES,NO,,
G21,21,Giữ xe,Thẻ xe và lượt ra vào,"Bao gồm các bảng: TheGiuXe, LichXeRaVao và LichDatSan. Nhóm này quản lý thẻ giữ xe phát hành tại cơ sở và nhật ký từng lượt xe vào, ra bãi gắn với lượt đặt sân tương ứng.",LichXeRaVao,Lịch xe ra vào,73,NO,LEFT,YES,NO,,
