SchemaName,TableName,IndexName,IndexType,IsUnique,IsFiltered,FilterExpression,Columns,IncludedColumns,Notes
dbo,CoSoCapability,UQ_CoSoCapability_CoSo_CapabilityType,NONCLUSTERED,YES,NO,,"CoSoID, CapabilityType",,
dbo,QRRequest,PK_QRRequest,CLUSTERED,YES,NO,,RequestID,,
dbo,SanQR,PK_SanQR,CLUSTERED,YES,NO,,SanQRID,,
dbo,SanQR,UQ_SanQR_SanID,NONCLUSTERED,YES,NO,,SanID,,Enforces 1-1 with San
dbo,SanQRTokenHistory,PK_SanQRTokenHistory,CLUSTERED,YES,NO,,HistoryID,,
dbo,SportService,PK_SportService,CLUSTERED,YES,NO,,ServiceID,,
dbo,RacketStringingConfig,PK_RacketStringingConfig,CLUSTERED,YES,NO,,ConfigID,,
dbo,RacketStringingConfig,UQ_RacketStringingConfig_ServiceID,NONCLUSTERED,YES,NO,,ServiceID,,Enforces 1-1 with SportService
dbo,ServiceMaterial,PK_ServiceMaterial,CLUSTERED,YES,NO,,MaterialID,,
dbo,ServiceOrder,PK_ServiceOrder,CLUSTERED,YES,NO,,OrderID,,
dbo,RacketStringingOrderDetail,PK_RacketStringingOrderDetail,CLUSTERED,YES,NO,,DetailID,,
dbo,RacketStringingOrderDetail,UQ_RacketStringingOrderDetail_OrderID,NONCLUSTERED,YES,NO,,OrderID,,Enforces 1-1 with ServiceOrder
dbo,ServiceOrderStatusHistory,PK_ServiceOrderStatusHistory,CLUSTERED,YES,NO,,HistoryID,,DDL inferred from Java model
dbo,Teams,PK_Teams,CLUSTERED,YES,NO,,TeamID,,
dbo,TeamMembers,PK_TeamMembers,CLUSTERED,YES,NO,,TeamMemberID,,
dbo,TeamInvitations,PK_TeamInvitations,CLUSTERED,YES,NO,,InvitationID,,
dbo,TeamJoinRequests,PK_TeamJoinRequests,CLUSTERED,YES,NO,,JoinRequestID,,
dbo,NhomChiaTien,PK_NhomChiaTien,CLUSTERED,YES,NO,,NhomChiaTienID,,
dbo,NhomChiaTienChiTiet,PK_NhomChiaTienChiTiet,CLUSTERED,YES,NO,,ChiTietID,,
dbo,NhomChiaTienChiTiet,UQ_NhomChiaTienChiTiet_ShareToken,NONCLUSTERED,YES,NO,,ShareToken,,
dbo,KhuyenMaiHinhAnh,PK_KhuyenMaiHinhAnh,CLUSTERED,YES,NO,,HinhAnhID,,Column name inferred
dbo,LichSuKhuyenMai,PK_LichSuKhuyenMai,CLUSTERED,YES,NO,,LichSuKhuyenMaiID,,
dbo,YeuCauNghi,PK_YeuCauNghi,CLUSTERED,YES,NO,,YeuCauNghiID,,
dbo,CaLamViecAudit,PK_CaLamViecAudit,CLUSTERED,YES,NO,,AuditID,,DDL fully inferred from Java model
dbo,CaLamViecAvailability,PK_CaLamViecAvailability,CLUSTERED,YES,NO,,AvailabilityID,,DDL fully inferred from Java model
dbo,CaLamViecSwapRequest,PK_CaLamViecSwapRequest,CLUSTERED,YES,NO,,SwapRequestID,,DDL fully inferred from Java model
dbo,SoftHold,PK_SoftHold,CLUSTERED,YES,NO,,HoldID,,DDL fully inferred from Java model
