SchemaName,FKName,FKTable,FKColumn,RefTable,RefColumn,OnDelete,OnUpdate,Notes
dbo,FK_HoanTien_LichDatSan,HoanTien,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,migration_refund_workflows
dbo,FK_HoanTien_NguoiDuyet,HoanTien,NguoiDuyetID,Accounts,AccountID,NO ACTION,NO ACTION,migration_refund_workflows
dbo,FK_HoanTien_CoSo,HoanTien,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,migration_refund_customer_selfservice
dbo,FK_LichDatSan_DichVu_DatSan,LichDatSan_DichVu,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,
dbo,FK_LichDatSan_DichVu_SanPham,LichDatSan_DichVu,SanPhamID,SanPham_DichVu,SanPhamID,NO ACTION,NO ACTION,
dbo,FK_LichDatSan_DichVu_DeliveredBy,LichDatSan_DichVu,DeliveredBy,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_CoSoNganHang_CoSo,CoSoNganHang,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,PK is also the FK (1-1)
dbo,FK_BookingExtension_LichDatSan,BookingExtension,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,
dbo,FK_BookingExtension_Operator,BookingExtension,OperatorAccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_CourtChargeSegment_HoaDon,CourtChargeSegment,HoaDonID,HoaDon,HoaDonID,NO ACTION,NO ACTION,
dbo,FK_CourtChargeSegment_LichDatSan,CourtChargeSegment,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,
dbo,FK_PayOSPaymentAttempt_HoaDon,PayOSPaymentAttempt,HoaDonID,HoaDon,HoaDonID,NO ACTION,NO ACTION,
dbo,FK_PayOSPaymentAttempt_LichDatSan,PayOSPaymentAttempt,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,
dbo,FK_PayOSPaymentAttempt_CoSo,PayOSPaymentAttempt,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,
dbo,FK_CustomerReputationHistory_Account,CustomerReputationHistory,AccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_CustomerReputationHistory_DatSan,CustomerReputationHistory,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_CustomerReputationHistory_CreatedBy,CustomerReputationHistory,CreatedBy,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_CoSoCapability_CoSo,CoSoCapability,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,
dbo,FK_CoSoCapability_ApprovedBy,CoSoCapability,ApprovedBy,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_QRRequest_San,QRRequest,SanID,San,SanID,NO ACTION,NO ACTION,
dbo,FK_QRRequest_CoSo,QRRequest,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,
dbo,FK_SanQR_San,SanQR,SanID,San,SanID,NO ACTION,NO ACTION,UNIQUE (1-1 relationship)
dbo,FK_SanQR_CreatedBy,SanQR,CreatedBy,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_SanQR_UpdatedBy,SanQR,UpdatedBy,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_SanQRTokenHistory_SanQR,SanQRTokenHistory,SanQRID,SanQR,SanQRID,NO ACTION,NO ACTION,
dbo,FK_SanQRTokenHistory_San,SanQRTokenHistory,SanID,San,SanID,NO ACTION,NO ACTION,
dbo,FK_SanQRTokenHistory_RevokedBy,SanQRTokenHistory,RevokedBy,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_SportService_CoSo,SportService,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,
dbo,FK_RacketStringingConfig_SportService,RacketStringingConfig,ServiceID,SportService,ServiceID,NO ACTION,NO ACTION,UNIQUE (1-1)
dbo,FK_ServiceMaterial_CoSo,ServiceMaterial,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,
dbo,FK_ServiceOrder_Customer,ServiceOrder,CustomerID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_ServiceOrder_CoSo,ServiceOrder,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,
dbo,FK_ServiceOrder_SportService,ServiceOrder,ServiceID,SportService,ServiceID,NO ACTION,NO ACTION,
dbo,FK_ServiceOrder_LichDatSan,ServiceOrder,BookingID,LichDatSan,DatSanID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_RacketStringingOrderDetail_ServiceOrder,RacketStringingOrderDetail,OrderID,ServiceOrder,OrderID,NO ACTION,NO ACTION,UNIQUE (1-1)
dbo,FK_RacketStringingOrderDetail_ServiceMaterial,RacketStringingOrderDetail,MaterialID,ServiceMaterial,MaterialID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_ServiceOrderStatusHistory_ServiceOrder,ServiceOrderStatusHistory,OrderID,ServiceOrder,OrderID,NO ACTION,NO ACTION,DDL inferred from Java model
dbo,FK_ServiceOrderStatusHistory_ChangedBy,ServiceOrderStatusHistory,ChangedBy,Accounts,AccountID,NO ACTION,NO ACTION,DDL inferred from Java model; NULL allowed
dbo,FK_Teams_MonTheThao,Teams,SportID,MonTheThao,MonTheThaoID,NO ACTION,NO ACTION,
dbo,FK_Teams_CaptainAccount,Teams,CaptainAccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_TeamMembers_Teams,TeamMembers,TeamID,Teams,TeamID,NO ACTION,NO ACTION,
dbo,FK_TeamMembers_Account,TeamMembers,AccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_TeamInvitations_Teams,TeamInvitations,TeamID,Teams,TeamID,NO ACTION,NO ACTION,
dbo,FK_TeamInvitations_InvitedAccount,TeamInvitations,InvitedAccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_TeamInvitations_InvitedByAccount,TeamInvitations,InvitedByAccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_TeamJoinRequests_Teams,TeamJoinRequests,TeamID,Teams,TeamID,NO ACTION,NO ACTION,
dbo,FK_TeamJoinRequests_RequesterAccount,TeamJoinRequests,RequesterAccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_TeamJoinRequests_ReviewedByAccount,TeamJoinRequests,ReviewedByAccountID,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_NhomChiaTien_HoaDon,NhomChiaTien,HoaDonID,HoaDon,HoaDonID,NO ACTION,NO ACTION,
dbo,FK_NhomChiaTien_LichDatSan,NhomChiaTien,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,
dbo,FK_NhomChiaTien_CreatedByAccount,NhomChiaTien,CreatedByAccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_NhomChiaTienChiTiet_NhomChiaTien,NhomChiaTienChiTiet,NhomChiaTienID,NhomChiaTien,NhomChiaTienID,NO ACTION,NO ACTION,
dbo,FK_NhomChiaTienChiTiet_Account,NhomChiaTienChiTiet,AccountID,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed (guest)
dbo,FK_NhomChiaTienChiTiet_PayerAccount,NhomChiaTienChiTiet,PayerAccountID,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_NhomChiaTienChiTiet_ConfirmedByStaff,NhomChiaTienChiTiet,ConfirmedByStaffID,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_KhuyenMaiHinhAnh_KhuyenMai,KhuyenMaiHinhAnh,KhuyenMaiID,KhuyenMai,KhuyenMaiID,NO ACTION,NO ACTION,
dbo,FK_LichSuKhuyenMai_KhuyenMai,LichSuKhuyenMai,KhuyenMaiID,KhuyenMai,KhuyenMaiID,NO ACTION,NO ACTION,
dbo,FK_LichSuKhuyenMai_TaiKhoan,LichSuKhuyenMai,AccountID,TaiKhoan,AccountID,NO ACTION,NO ACTION,ANOMALY: references TaiKhoan not Accounts - likely old table name or bug in migration_promotional_codes.sql
dbo,FK_YeuCauNghi_Account,YeuCauNghi,AccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_YeuCauNghi_CoSo,YeuCauNghi,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,
dbo,FK_YeuCauNghi_XuLyBy,YeuCauNghi,XuLyBy,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
