SchemaName,TableName,ColumnName,OrdinalPosition,DataType,MaxLength,Precision,Scale,IsNullable,DefaultValue,IsIdentity,IsComputed,FKReferences,Notes
dbo,Accounts,CompletedBookingCount,30,INT,,10,0,YES,0,,NO,,migration_customer_reputation_cancel_flow
dbo,Accounts,NhanThongBaoMarketing,31,BIT,,,,,YES,1,,NO,,migration_notification_marketing_refund_review
dbo,Accounts,CoverImageUrl,32,NVARCHAR,500,,,YES,,,NO,,migration_customer_profile
dbo,Accounts,ChieuCaoCm,33,INT,,10,0,YES,,,NO,,migration_customer_profile CHECK(50-260)
dbo,Accounts,CanNangKg,34,INT,,10,0,YES,,,NO,,migration_customer_profile CHECK(20-300)
dbo,Accounts,GhiChuDacBiet,35,NVARCHAR,MAX,,,YES,,,NO,,migration_customer_profile
dbo,Accounts,ViTriYeuThich,36,NVARCHAR,255,,,YES,,,NO,,migration_customer_profile
dbo,Accounts,MonTheThaoYeuThichID,37,INT,,10,0,YES,,,NO,dbo.MonTheThao(MonTheThaoID),migration_customer_profile FK
dbo,Accounts,TrinhDoChoi,38,VARCHAR,30,,,YES,,,NO,,migration_customer_profile CHECK(Mới chơi|Cơ bản|Trung bình|Khá|Nâng cao)
dbo,Accounts,MucTieuChoi,39,NVARCHAR,500,,,YES,,,NO,,migration_customer_profile
dbo,Accounts,TanSuatChoi,40,VARCHAR,30,,,YES,,,NO,,migration_customer_profile CHECK values
dbo,MonTheThao,MonTheThaoID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,MonTheThao,TenMon,2,NVARCHAR,50,,,NO,,,NO,,
dbo,MonTheThaoYeuThich,AccountID,1,INT,,10,0,NO,,,NO,dbo.Accounts(AccountID),PK composite + FK ON DELETE CASCADE
dbo,MonTheThaoYeuThich,MonTheThaoID,2,INT,,10,0,NO,,,NO,dbo.MonTheThao(MonTheThaoID),PK composite + FK ON DELETE CASCADE
dbo,MonTheThaoYeuThich,NgayThem,3,DATETIME,,,,,YES,,,NO,,
dbo,LoaiSan,LoaiSanID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,LoaiSan,MonTheThaoID,2,INT,,10,0,YES,,,NO,dbo.MonTheThao(MonTheThaoID),FK
dbo,LoaiSan,TenLoai,3,NVARCHAR,100,,,YES,,,NO,,
dbo,LoaiSan,GiaKhongDen,4,DECIMAL,,18,2,YES,,,NO,,Giá không đèn
dbo,LoaiSan,GiaCoDen,5,DECIMAL,,18,2,YES,,,NO,,Giá có đèn
dbo,LoaiSan,GioBatDauLenDen,6,TIME,,,,,YES,17:30:00,,NO,,DEFAULT 17:30:00
dbo,LoaiSan,GioKetThucLenDen,7,TIME,,,,,YES,,,NO,,migration_court_checkout
dbo,LoaiSan,IsDeleted,8,BIT,,,,,YES,0,,NO,,migration_soft_delete
dbo,LoaiSan,DeletedAt,9,DATETIME,,,,,YES,,,NO,,migration_soft_delete
dbo,LoaiSan,DeletedBy,10,INT,,10,0,YES,,,NO,,migration_soft_delete
dbo,San,SanID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,San,TenSan,2,NVARCHAR,100,,,YES,,,NO,,
dbo,San,LoaiSanID,3,INT,,10,0,YES,,,NO,dbo.LoaiSan(LoaiSanID),FK
dbo,San,CoSoID,4,INT,,10,0,NO,,,NO,dbo.CoSo(CoSoID),FK NOT NULL
dbo,San,TrangThai,5,NVARCHAR,50,,,YES,Sẵn sàng,,NO,,
dbo,San,MoTa,6,NVARCHAR,MAX,,,YES,,,NO,,
dbo,San,HinhAnh,7,NVARCHAR,500,,,YES,,,NO,,
dbo,San,IsDeleted,8,BIT,,,,,YES,0,,NO,,migration_soft_delete
dbo,San,DeletedAt,9,DATETIME,,,,,YES,,,NO,,migration_soft_delete
dbo,San,DeletedBy,10,INT,,10,0,YES,,,NO,,migration_soft_delete
dbo,DanhMucSanPham,DanhMucID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,DanhMucSanPham,TenDanhMuc,2,NVARCHAR,100,,,NO,,,NO,,
dbo,SanPham_DichVu,SanPhamID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,SanPham_DichVu,DanhMucID,2,INT,,10,0,YES,,,NO,dbo.DanhMucSanPham(DanhMucID),FK
dbo,SanPham_DichVu,CoSoID,3,INT,,10,0,YES,,,NO,dbo.CoSo(CoSoID),FK
dbo,SanPham_DichVu,TenSanPham,4,NVARCHAR,200,,,YES,,,NO,,
dbo,SanPham_DichVu,DonGia,5,DECIMAL,,18,2,YES,,,NO,,
dbo,SanPham_DichVu,DonViTinh,6,NVARCHAR,50,,,YES,,,NO,,
dbo,SanPham_DichVu,SoLuongTon,7,INT,,10,0,YES,0,,NO,,
dbo,SanPham_DichVu,TrangThai,8,NVARCHAR,50,,,YES,,,NO,,
dbo,SanPham_DichVu,IsDeleted,9,BIT,,,,,YES,0,,NO,,migration_soft_delete
dbo,SanPham_DichVu,DeletedAt,10,DATETIME,,,,,YES,,,NO,,migration_soft_delete
dbo,SanPham_DichVu,DeletedBy,11,INT,,10,0,YES,,,NO,,migration_soft_delete
dbo,LichDatSan,DatSanID,1,INT,,10,0,NO,,YES,NO,,PK - central booking table
dbo,LichDatSan,AccountID,2,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,LichDatSan,SanID,3,INT,,10,0,YES,,,NO,dbo.San(SanID),FK
dbo,LichDatSan,NgayDat,4,DATE,,,,,YES,,,NO,,
dbo,LichDatSan,GioBatDau,5,TIME,,,,,YES,,,NO,,
dbo,LichDatSan,GioKetThuc,6,TIME,,,,,YES,,,NO,,
dbo,LichDatSan,ApDungGiaCoDen,7,BIT,,,,,YES,0,,NO,,DEFAULT 0
dbo,LichDatSan,TongTienDuKien,8,DECIMAL,,18,2,YES,,,NO,,
dbo,LichDatSan,TrangThai,9,NVARCHAR,50,,,YES,Chờ xác nhận,,NO,,
dbo,LichDatSan,GhiChu,10,NVARCHAR,500,,,YES,,,NO,,
dbo,LichDatSan,NguonDatSan,11,NVARCHAR,50,,,YES,,,NO,,
dbo,LichDatSan,IsDeleted,12,BIT,,,,,YES,0,,NO,,migration_soft_delete
dbo,LichDatSan,DeletedAt,13,DATETIME,,,,,YES,,,NO,,migration_soft_delete
dbo,LichDatSan,DeletedBy,14,INT,,10,0,YES,,,NO,,migration_soft_delete
dbo,LichDatSan,HoldExpiresAt,15,DATETIME2,,,,,YES,,,NO,,migration_reservation_hold
dbo,LichDatSan,DepositAmount,16,DECIMAL,,18,2,YES,,,NO,,migration_reservation_hold
dbo,LichDatSan,PaymentMethodConfirmed,17,NVARCHAR,50,,,YES,,,NO,,migration_reservation_hold
dbo,LichDatSan,TransactionCode,18,NVARCHAR,100,,,YES,,,NO,,migration_reservation_hold
dbo,LichDatSan,ConfirmedAt,19,DATETIME2,,,,,YES,,,NO,,migration_reservation_hold
dbo,LichDatSan,ConfirmedBy,20,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),migration_reservation_hold FK
dbo,LichDatSan,ConfirmSource,21,NVARCHAR,20,,,YES,,,NO,,migration_reservation_hold
dbo,LichDatSan,NoShowAt,22,DATETIME2,,,,,YES,,,NO,,migration_reservation_hold
dbo,LichDatSan,CancelType,23,NVARCHAR,50,,,YES,,,NO,,migration_customer_reputation_cancel_flow
dbo,LichDatSan,CancelReason,24,NVARCHAR,500,,,YES,,,NO,,migration_customer_reputation_cancel_flow
dbo,LichDatSan,CancelledAt,25,DATETIME2,,,,,YES,,,NO,,migration_customer_reputation_cancel_flow
dbo,LichDatSan,CancelledBy,26,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),migration_customer_reputation_cancel_flow FK
dbo,LichDatSan,RequiresRefundReview,27,BIT,,,,,YES,0,,NO,,migration_customer_reputation_cancel_flow
dbo,LichDatSan,ActualStartAt,28,DATETIME2,,,,,YES,,,NO,,migration_court_checkout
dbo,LichDatSan,ActualEndAt,29,DATETIME2,,,,,YES,,,NO,,migration_court_checkout
dbo,LichDatSan,PricingFinalizedAt,30,DATETIME2,,,,,YES,,,NO,,migration_court_checkout
dbo,LichDatSan,PayosOrderCode,31,BIGINT,,19,0,YES,,,NO,,migrate_customer_embedded_payos_payment
dbo,LichDatSan,PayosPaymentLinkId,32,VARCHAR,255,,,YES,,,NO,,migrate_customer_embedded_payos_payment
dbo,LichDatSan,PayosQrPayload,33,NVARCHAR,MAX,,,YES,,,NO,,migrate_customer_embedded_payos_payment
dbo,LichDatSan,PayosCheckoutUrl,34,NVARCHAR,1024,,,YES,,,NO,,migrate_customer_embedded_payos_payment
dbo,LichDatSan,PayosBin,35,VARCHAR,20,,,YES,,,NO,,migrate_customer_embedded_payos_payment
dbo,LichDatSan,PayosAccountNumber,36,VARCHAR,64,,,YES,,,NO,,migrate_customer_embedded_payos_payment
dbo,LichDatSan,PayosAccountName,37,NVARCHAR,255,,,YES,,,NO,,migrate_customer_embedded_payos_payment
dbo,LichDatSan,PayosAmount,38,DECIMAL,,18,2,YES,,,NO,,migrate_customer_embedded_payos_payment
dbo,LichDatSan,PayosDescription,39,NVARCHAR,255,,,YES,,,NO,,migrate_customer_embedded_payos_payment
dbo,LichDatSan,PayosExpiresAt,40,DATETIME2,,,,,YES,,,NO,,migrate_customer_embedded_payos_payment
dbo,GhepKeo,KeoID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,GhepKeo,DatSanID,2,INT,,10,0,YES,,,NO,dbo.LichDatSan(DatSanID),FK
dbo,GhepKeo,AccountID_NguoiTao,3,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,GhepKeo,MonTheThaoID,4,INT,,10,0,YES,,,NO,dbo.MonTheThao(MonTheThaoID),FK
dbo,GhepKeo,MoTa,5,NVARCHAR,MAX,,,YES,,,NO,,
dbo,GhepKeo,TrinhDo,6,NVARCHAR,50,,,YES,,,NO,,
dbo,GhepKeo,TrangThai,7,NVARCHAR,50,,,YES,Đang tìm,,NO,,
dbo,GhepKeo,SoNguoiCanTim,8,INT,,10,0,YES,,,NO,,migration_matchmaking_complete_flow
dbo,GhepKeo,HinhThucDuyet,9,NVARCHAR,20,,,YES,,,NO,,migration_matchmaking_complete_flow
dbo,GhepKeo,CreatedAt,10,DATETIME2,,,,,YES,,,NO,,migration_matchmaking_complete_flow
dbo,GhepKeo,TeamIDNguoiTao,11,INT,,10,0,YES,,,NO,dbo.Teams(TeamID),migration_team_management FK
dbo,ChiTietGhepKeo,ChiTietKeoID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,ChiTietGhepKeo,KeoID,2,INT,,10,0,YES,,,NO,dbo.GhepKeo(KeoID),FK
dbo,ChiTietGhepKeo,AccountID_NguoiThamGia,3,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,ChiTietGhepKeo,TrangThaiThamGia,4,NVARCHAR,50,,,YES,Chờ duyệt,,NO,,
dbo,ChiTietGhepKeo,ViTriThamGia,5,NVARCHAR,100,,,YES,,,NO,,
dbo,ChiTietGhepKeo,TeamIDNguoiThamGia,6,INT,,10,0,YES,,,NO,dbo.Teams(TeamID),migration_team_management FK
dbo,DanhGia,DanhGiaID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,DanhGia,DatSanID,2,INT,,10,0,YES,,,NO,dbo.LichDatSan(DatSanID),FK
dbo,DanhGia,AccountID_NguoiDanhGia,3,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,DanhGia,AccountID_NguoiBiDanhGia,4,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK NULL
dbo,DanhGia,SoSao,5,INT,,10,0,YES,,,NO,,CHECK(1-5)
dbo,DanhGia,BinhLuan,6,NVARCHAR,MAX,,,YES,,,NO,,
dbo,DanhGia,NgayDanhGia,7,DATETIME,,,,,YES,,,NO,,
dbo,LichSuELO,LichSuELOID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,LichSuELO,AccountID,2,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,LichSuELO,DatSanID,3,INT,,10,0,YES,,,NO,dbo.LichDatSan(DatSanID),FK NULL
dbo,LichSuELO,DiemTruoc,4,INT,,10,0,YES,,,NO,,
dbo,LichSuELO,DiemSau,5,INT,,10,0,YES,,,NO,,
dbo,LichSuELO,ThayDoi,6,INT,,10,0,YES,,,NO,,
dbo,LichSuELO,LyDo,7,NVARCHAR,255,,,YES,,,NO,,
dbo,LichSuELO,ThoiGian,8,DATETIME,,,,,YES,,,NO,,
dbo,NhatKyChat,NhatKyChatID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,NhatKyChat,AccountID,2,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK NULL
dbo,NhatKyChat,Kenh,3,NVARCHAR,50,,,YES,,,NO,,
dbo,NhatKyChat,TurnSo,4,INT,,10,0,YES,,,NO,,
dbo,NhatKyChat,VaiTro,5,NVARCHAR,20,,,YES,,,NO,,
dbo,NhatKyChat,NoiDung,6,NVARCHAR,MAX,,,YES,,,NO,,
dbo,NhatKyChat,TrangThaiBot,7,NVARCHAR,50,,,YES,,,NO,,
dbo,NhatKyChat,ThoiGian,8,DATETIME,,,,,YES,,,NO,,
dbo,TheGiuXe,TheID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,TheGiuXe,CoSoID,2,INT,,10,0,YES,,,NO,dbo.CoSo(CoSoID),FK
dbo,TheGiuXe,MaSoThe,3,VARCHAR,20,,,YES,,,NO,,
dbo,TheGiuXe,LoaiXe,4,NVARCHAR,50,,,YES,,,NO,,
dbo,TheGiuXe,TrangThai,5,NVARCHAR,50,,,YES,Trống,,NO,,
dbo,TheGiuXe,SucChua,6,INT,,10,0,YES,,,NO,,
dbo,TheGiuXe,GiaVeTheoLuot,7,DECIMAL,,18,2,YES,0,,NO,,
dbo,LichXeRaVao,LichXeID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,LichXeRaVao,TheID,2,INT,,10,0,YES,,,NO,dbo.TheGiuXe(TheID),FK
dbo,LichXeRaVao,DatSanID,3,INT,,10,0,YES,,,NO,dbo.LichDatSan(DatSanID),FK NULL
dbo,LichXeRaVao,BienSoXe,4,NVARCHAR,20,,,YES,,,NO,,
dbo,LichXeRaVao,KieuGuiXe,5,NVARCHAR,50,,,YES,,,NO,,
dbo,LichXeRaVao,GioVao,6,DATETIME,,,,,YES,,,NO,,
dbo,LichXeRaVao,GioRa,7,DATETIME,,,,,YES,,,NO,,
dbo,LichXeRaVao,PhiGuiXe,8,DECIMAL,,18,2,YES,0,,NO,,
dbo,LichXeRaVao,AccountID_NhanVien,9,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK NULL
dbo,KhuyenMai,KhuyenMaiID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,KhuyenMai,MaCode,2,VARCHAR,50,,,YES,,,NO,,UNIQUE
dbo,KhuyenMai,MoTa,3,NVARCHAR,MAX,,,YES,,,NO,,
dbo,KhuyenMai,LoaiGiam,4,NVARCHAR,50,,,YES,,,NO,,
dbo,KhuyenMai,GiaTriGiam,5,DECIMAL,,18,2,YES,,,NO,,
dbo,KhuyenMai,NgayBatDau,6,DATE,,,,,YES,,,NO,,
dbo,KhuyenMai,NgayKetThuc,7,DATE,,,,,YES,,,NO,,
dbo,KhuyenMai,SoLanToiDa,8,INT,,10,0,YES,,,NO,,NULL = unlimited
dbo,KhuyenMai,SoLanDaDung,9,INT,,10,0,YES,0,,NO,,
dbo,KhuyenMai,CoSoID,10,INT,,10,0,YES,,,NO,dbo.CoSo(CoSoID),FK NULL = all facilities
dbo,KhuyenMai,TrangThai,11,NVARCHAR,50,,,YES,Hoạt động,,NO,,
dbo,KhuyenMai,GiaTriToiThieu,12,DECIMAL,,18,2,YES,,,NO,,migration_promotional_codes
dbo,KhuyenMai,GiamToiDa,13,DECIMAL,,18,2,YES,,,NO,,migration_promotional_codes
dbo,KhuyenMai,HienThiCongKhai,14,BIT,,,,,YES,,,NO,,migration_khuyenmai_hinhanh
dbo,HoaDon,HoaDonID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,HoaDon,DatSanID,2,INT,,10,0,YES,,,NO,dbo.LichDatSan(DatSanID),FK NULL
dbo,HoaDon,AccountID_KhachHang,3,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,HoaDon,AccountID_NhanVien,4,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,HoaDon,NgayLap,5,DATETIME,,,,,YES,,,NO,,
dbo,HoaDon,TongTienSan,6,DECIMAL,,18,2,YES,,,NO,,
dbo,HoaDon,TongTienDichVu,7,DECIMAL,,18,2,YES,,,NO,,
dbo,HoaDon,PhiGuiXe,8,DECIMAL,,18,2,YES,,,NO,,
dbo,HoaDon,KhuyenMaiID,9,INT,,10,0,YES,,,NO,dbo.KhuyenMai(KhuyenMaiID),FK NULL
dbo,HoaDon,GiamGia,10,DECIMAL,,18,2,YES,,,NO,,
dbo,HoaDon,TongThanhToan,11,DECIMAL,,18,2,YES,,,NO,,
dbo,HoaDon,PhuongThucThanhToan,12,NVARCHAR,50,,,YES,,,NO,,
dbo,HoaDon,TrangThaiThanhToan,13,NVARCHAR,50,,,YES,,,NO,,
dbo,HoaDon,LoaiHoaDon,14,NVARCHAR,50,,,YES,MAIN,,NO,,migration_hoadon_loai DEFAULT 'MAIN'
dbo,HoaDon,ParentHoaDonID,15,INT,,10,0,YES,,,NO,dbo.HoaDon(HoaDonID),migration_hoadon_loai self-referencing FK
dbo,HoaDon,GhiChu,16,NVARCHAR,500,,,YES,,,NO,,migration_hoadon_loai
dbo,HoaDon,PaymentReference,17,NVARCHAR,255,,,YES,,,NO,,migration_bank_transfer
dbo,ChiTietHoaDon,ChiTietID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,ChiTietHoaDon,HoaDonID,2,INT,,10,0,YES,,,NO,dbo.HoaDon(HoaDonID),FK
dbo,ChiTietHoaDon,SanPhamID,3,INT,,10,0,YES,,,NO,dbo.SanPham_DichVu(SanPhamID),FK
dbo,ChiTietHoaDon,SoLuong,4,INT,,10,0,YES,,,NO,,
dbo,ChiTietHoaDon,DonGiaTaiThoiDiemBan,5,DECIMAL,,18,2,YES,,,NO,,
dbo,ChiTietHoaDon,ThanhTien,6,DECIMAL,,18,2,YES,,,NO,,
dbo,ChiaHoaDon,ChiaHoaDonID,1,INT,,10,0,NO,,YES,NO,,PK - DEAD CODE (replaced by NhomChiaTien)
dbo,ChiaHoaDon,HoaDonID,2,INT,,10,0,YES,,,NO,dbo.HoaDon(HoaDonID),FK
dbo,ChiaHoaDon,AccountID,3,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,ChiaHoaDon,SoTienPhanBo,4,DECIMAL,,18,2,YES,,,NO,,
dbo,ChiaHoaDon,DaTra,5,BIT,,,,,YES,0,,NO,,
dbo,ChiaHoaDon,ThoiGianTra,6,DATETIME,,,,,YES,,,NO,,
dbo,ChiaHoaDon,GhiChu,7,NVARCHAR,500,,,YES,,,NO,,
dbo,MaQR,MaQRID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,MaQR,ChiaHoaDonID,2,INT,,10,0,YES,,,NO,dbo.ChiaHoaDon(ChiaHoaDonID),FK
dbo,MaQR,NoiDungQR,3,NVARCHAR,MAX,,,YES,,,NO,,
dbo,MaQR,NgayTao,4,DATETIME,,,,,YES,,,NO,,
dbo,MaQR,NgayHetHan,5,DATETIME,,,,,YES,,,NO,,
dbo,MaQR,DaQuet,6,BIT,,,,,YES,0,,NO,,
dbo,YeuCauSOS,YeuCauSOSID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,YeuCauSOS,AccountID_Tao,2,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,YeuCauSOS,DatSanID,3,INT,,10,0,YES,,,NO,dbo.LichDatSan(DatSanID),FK NULL
dbo,YeuCauSOS,MonTheThaoID,4,INT,,10,0,YES,,,NO,dbo.MonTheThao(MonTheThaoID),FK NULL
dbo,YeuCauSOS,SoNguoiCanTuyen,5,INT,,10,0,YES,,,NO,,
dbo,YeuCauSOS,ViTriCanTuyen,6,NVARCHAR,100,,,YES,,,NO,,
dbo,YeuCauSOS,GhiChu,7,NVARCHAR,MAX,,,YES,,,NO,,
dbo,YeuCauSOS,TrangThai,8,NVARCHAR,50,,,YES,Đang tuyển,,NO,,
dbo,YeuCauSOS,ThoiGianTao,9,DATETIME,,,,,YES,,,NO,,
dbo,NhatKySOSGui,NhatKySOSGuiID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,NhatKySOSGui,YeuCauSOSID,2,INT,,10,0,YES,,,NO,dbo.YeuCauSOS(YeuCauSOSID),FK
dbo,NhatKySOSGui,AccountID_NhanGui,3,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,NhatKySOSGui,ThoiGianGui,4,DATETIME,,,,,YES,,,NO,,
dbo,NhatKySOSGui,DaXem,5,BIT,,,,,YES,0,,NO,,
dbo,NhatKySOSGui,PhanHoi,6,NVARCHAR,MAX,,,YES,,,NO,,
dbo,ThongBao,ThongBaoID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,ThongBao,AccountID,2,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,ThongBao,TieuDe,3,NVARCHAR,200,,,YES,,,NO,,
dbo,ThongBao,NoiDung,4,NVARCHAR,MAX,,,YES,,,NO,,
dbo,ThongBao,LoaiThongBao,5,NVARCHAR,50,,,YES,,,NO,,
dbo,ThongBao,DaDoc,6,BIT,,,,,YES,0,,NO,,
dbo,ThongBao,ThoiGianGui,7,DATETIME,,,,,YES,,,NO,,
dbo,ThongBao,MaBanGhi,8,NVARCHAR,100,,,YES,,,NO,,migration_thongbao_table - for dedup UQ
dbo,ThongBao,DuongDan,9,NVARCHAR,500,,,YES,,,NO,,migration_thongbao_table
dbo,ThongBao,IsDeleted,10,BIT,,,,,YES,0,,NO,,migration_thongbao_table / migration_soft_delete
dbo,ThongBao,DeletedAt,11,DATETIME,,,,,YES,,,NO,,migration_soft_delete
dbo,ThongBao,DeletedBy,12,INT,,10,0,YES,,,NO,,migration_soft_delete
dbo,CaLamViec,CaLamViecID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,CaLamViec,AccountID,2,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK
dbo,CaLamViec,CoSoID,3,INT,,10,0,YES,,,NO,dbo.CoSo(CoSoID),FK
dbo,CaLamViec,NgayLam,4,DATE,,,,,YES,,,NO,,
dbo,CaLamViec,GioBatDau,5,TIME,,,,,YES,,,NO,,
dbo,CaLamViec,GioKetThuc,6,TIME,,,,,YES,,,NO,,
dbo,CaLamViec,GhiChu,7,NVARCHAR,500,,,YES,,,NO,,
dbo,CaLamViec,IsDeleted,8,BIT,,,,,YES,0,,NO,,migration_soft_delete
dbo,CaLamViec,DeletedAt,9,DATETIME,,,,,YES,,,NO,,migration_soft_delete
dbo,CaLamViec,DeletedBy,10,INT,,10,0,YES,,,NO,,migration_soft_delete
dbo,HoanTien,HoanTienID,1,INT,,10,0,NO,,YES,NO,,PK
